downtime_id,machine_id,plant_location,start_time,end_time,duration_hours,reason,production_loss_mt,repair_cost_inr
DT000019,Machine-8,Ahmedabad Plant 1,2022-01-15 00:00:00,2022-01-15 07:18:00.516409,7.3,Scheduled Maintenance,2.53,7147.41
DT000020,Machine-7,Rajkot Plant,2022-01-15 10:00:00,2022-01-15 12:44:36.908076,2.74,Raw Material Shortage,1.98,19723.33
DT000021,Machine-11,Ahmedabad Plant 1,2022-01-18 00:00:00,2022-01-18 01:37:33.209798,1.63,Cleaning,1.85,28467.15
DT000022,Machine-22,Ahmedabad Plant 2,2022-01-19 14:00:00,2022-01-19 19:49:27.146079,5.82,Power Failure,3.0,34170.73
DT000023,Machine-5,Rajkot Plant,2022-01-20 02:00:00,2022-01-20 04:52:35.909928,2.88,Power Failure,2.89,30708.52
DT000024,Machine-20,Ahmedabad Plant 2,2022-01-21 23:00:00,2022-01-22 04:20:34.875049,5.34,Breakdown,1.39,25332.64
DT000025,Machine-3,Ahmedabad Plant 2,2022-01-21 07:00:00,2022-01-21 10:38:23.035489,3.64,Cleaning,2.84,41431.56
DT000026,Machine-5,Ahmedabad Plant 1,2022-01-21 20:00:00,2022-01-21 21:10:49.009744,1.18,Raw Material Shortage,1.28,7505.98
DT000027,Machine-22,Ahmedabad Plant 2,2022-01-22 08:00:00,2022-01-22 12:22:32.502526,4.38,Cleaning,1.2,8303.01
DT000028,Machine-11,Rajkot Plant,2022-01-22 09:00:00,2022-01-22 15:17:24.245710,6.29,Scheduled Maintenance,0.73,17220.37
DT000029,Machine-15,Rajkot Plant,2022-01-22 20:00:00,2022-01-23 02:17:14.205172,6.29,Power Failure,1.78,41770.21
DT000030,Machine-16,Rajkot Plant,2022-01-23 02:00:00,2022-01-23 05:36:30.993984,3.61,Raw Material Shortage,2.54,29217.37
DT000031,Machine-2,Ahmedabad Plant 2,2022-01-24 00:00:00,2022-01-24 01:09:34.754152,1.16,Raw Material Shortage,1.68,29909.46
DT000032,Machine-11,Ahmedabad Plant 2,2022-01-25 05:00:00,2022-01-25 10:05:26.745288,5.09,Power Failure,2.82,13260.08
DT000033,Machine-17,Ahmedabad Plant 1,2022-01-25 21:00:00,2022-01-26 02:02:42.755716,5.05,Raw Material Shortage,2.38,45047.97
DT000034,Machine-22,Ahmedabad Plant 1,2022-01-26 19:00:00,2022-01-26 23:26:23.264509,4.44,Operator Error,1.03,41795.7
DT000035,Machine-20,Ahmedabad Plant 2,2022-01-26 22:00:00,2022-01-27 05:17:16.292752,7.29,Raw Material Shortage,0.77,15337.26
DT000036,Machine-8,Ahmedabad Plant 1,2022-01-29 20:00:00,2022-01-30 03:02:09.508061,7.04,Scheduled Maintenance,1.71,12609.52
DT000037,Machine-22,Ahmedabad Plant 1,2022-01-29 15:00:00,2022-01-29 20:20:22.954114,5.34,Scheduled Maintenance,1.65,48558.17
DT000038,Machine-6,Ahmedabad Plant 2,2022-01-29 17:00:00,2022-01-29 19:10:13.282257,2.17,Cleaning,1.41,12476.8
DT000039,Machine-24,Ahmedabad Plant 2,2022-01-30 07:00:00,2022-01-30 07:52:22.778612,0.87,Breakdown,1.18,41892.26
DT000040,Machine-6,Ahmedabad Plant 1,2022-01-30 17:00:00,2022-01-30 19:30:15.290150,2.5,Operator Error,2.24,28671.06
DT000041,Machine-5,Rajkot Plant,2022-02-02 09:00:00,2022-02-02 13:23:52.170464,4.4,Power Failure,2.45,32799.55
DT000042,Machine-8,Ahmedabad Plant 1,2022-02-02 21:00:00,2022-02-02 22:41:56.104679,1.7,Scheduled Maintenance,1.05,29470.31
DT000043,Machine-15,Ahmedabad Plant 2,2022-02-02 08:00:00,2022-02-02 14:50:23.495555,6.84,Operator Error,0.88,9810.29
DT000044,Machine-11,Ahmedabad Plant 2,2022-02-03 23:00:00,2022-02-04 03:22:53.539934,4.38,Operator Error,0.97,49740.6
DT000045,Machine-1,Rajkot Plant,2022-02-04 03:00:00,2022-02-04 03:31:57.673862,0.53,Raw Material Shortage,1.62,12314.37
DT000046,Machine-12,Rajkot Plant,2022-02-04 23:00:00,2022-02-05 04:36:29.129146,5.61,Raw Material Shortage,2.08,41318.05
DT000047,Machine-24,Rajkot Plant,2022-02-05 21:00:00,2022-02-06 01:43:31.880974,4.73,Raw Material Shortage,0.97,7399.16
DT000048,Machine-19,Rajkot Plant,2022-02-05 20:00:00,2022-02-06 01:54:57.962899,5.92,Raw Material Shortage,1.6,14999.58
DT000049,Machine-13,Ahmedabad Plant 1,2022-02-05 18:00:00,2022-02-05 20:23:19.188591,2.39,Operator Error,0.87,17761.12
DT000050,Machine-20,Rajkot Plant,2022-02-06 01:00:00,2022-02-06 07:26:24.577607,6.44,Operator Error,2.05,49432.92
DT000051,Machine-7,Ahmedabad Plant 2,2022-02-06 23:00:00,2022-02-07 03:25:55.593349,4.43,Power Failure,1.8,13612.37
DT000052,Machine-6,Ahmedabad Plant 2,2022-02-06 22:00:00,2022-02-07 02:53:54.299270,4.9,Raw Material Shortage,2.02,14293.9
DT000053,Machine-7,Ahmedabad Plant 1,2022-02-07 19:00:00,2022-02-07 20:09:35.084004,1.16,Raw Material Shortage,1.42,12744.66
DT000054,Machine-16,Ahmedabad Plant 2,2022-02-08 01:00:00,2022-02-08 05:16:26.523808,4.27,Breakdown,1.82,32367.01
DT000055,Machine-22,Ahmedabad Plant 1,2022-02-08 07:00:00,2022-02-08 12:01:16.436918,5.02,Cleaning,2.19,15370.47
DT000056,Machine-24,Ahmedabad Plant 2,2022-02-08 19:00:00,2022-02-09 00:58:52.761855,5.98,Raw Material Shortage,1.81,24678.77
DT000057,Machine-14,Ahmedabad Plant 1,2022-02-09 03:00:00,2022-02-09 08:21:33.176399,5.36,Scheduled Maintenance,1.75,28655.06
DT000058,Machine-4,Ahmedabad Plant 2,2022-02-09 07:00:00,2022-02-09 07:40:27.690809,0.67,Operator Error,2.51,24087.91
DT000059,Machine-7,Ahmedabad Plant 1,2022-02-11 14:00:00,2022-02-11 18:23:08.065266,4.39,Power Failure,1.47,29818.87
DT000060,Machine-1,Ahmedabad Plant 2,2022-02-11 06:00:00,2022-02-11 06:54:19.144427,0.91,Operator Error,1.46,35090.5
DT000061,Machine-13,Ahmedabad Plant 1,2022-02-12 03:00:00,2022-02-12 10:32:18.044803,7.54,Power Failure,2.62,48326.81
DT000062,Machine-12,Rajkot Plant,2022-02-12 00:00:00,2022-02-12 06:21:40.895577,6.36,Scheduled Maintenance,2.08,24047.26
DT000063,Machine-11,Ahmedabad Plant 1,2022-02-12 07:00:00,2022-02-12 08:25:24.844626,1.42,Operator Error,1.13,17202.88
DT000064,Machine-23,Ahmedabad Plant 2,2022-02-13 16:00:00,2022-02-13 19:42:32.841513,3.71,Scheduled Maintenance,2.02,32839.78
DT000065,Machine-25,Ahmedabad Plant 1,2022-02-14 21:00:00,2022-02-15 00:54:59.651211,3.92,Scheduled Maintenance,1.19,7542.25
DT000066,Machine-4,Rajkot Plant,2022-02-14 17:00:00,2022-02-15 00:54:58.582403,7.92,Operator Error,2.85,13231.67
DT000067,Machine-21,Ahmedabad Plant 1,2022-02-15 05:00:00,2022-02-15 10:02:25.688382,5.04,Operator Error,1.24,13749.28
DT000068,Machine-18,Rajkot Plant,2022-02-16 04:00:00,2022-02-16 09:37:59.105785,5.63,Cleaning,2.47,23296.68
DT000069,Machine-12,Ahmedabad Plant 2,2022-02-19 10:00:00,2022-02-19 10:56:34.719528,0.94,Power Failure,1.5,28948.73
DT000070,Machine-9,Ahmedabad Plant 2,2022-02-19 05:00:00,2022-02-19 12:11:56.846051,7.2,Operator Error,2.14,36972.34
DT000071,Machine-20,Ahmedabad Plant 2,2022-02-19 02:00:00,2022-02-19 04:01:11.044678,2.02,Breakdown,2.3,27582.12
DT000072,Machine-13,Ahmedabad Plant 1,2022-02-20 18:00:00,2022-02-21 00:39:11.111924,6.65,Breakdown,1.04,28168.81
DT000073,Machine-22,Ahmedabad Plant 1,2022-02-21 05:00:00,2022-02-21 07:04:15.881702,2.07,Cleaning,1.21,42449.18
DT000074,Machine-6,Ahmedabad Plant 2,2022-02-21 23:00:00,2022-02-22 04:39:30.446587,5.66,Scheduled Maintenance,2.32,8084.18
DT000075,Machine-8,Ahmedabad Plant 1,2022-02-22 14:00:00,2022-02-22 19:57:56.427087,5.97,Raw Material Shortage,1.73,25661.47
DT000076,Machine-2,Ahmedabad Plant 2,2022-02-22 13:00:00,2022-02-22 16:35:40.927066,3.59,Breakdown,2.63,12985.88
DT000077,Machine-25,Rajkot Plant,2022-02-22 16:00:00,2022-02-22 22:36:21.096841,6.61,Power Failure,2.82,12570.75
DT000078,Machine-6,Ahmedabad Plant 2,2022-02-23 10:00:00,2022-02-23 17:59:49.091964,8.0,Operator Error,2.98,32959.35
DT000079,Machine-1,Rajkot Plant,2022-02-23 20:00:00,2022-02-23 22:30:50.442365,2.51,Power Failure,1.57,12667.25
DT000080,Machine-25,Ahmedabad Plant 1,2022-02-24 23:00:00,2022-02-25 00:24:05.459182,1.4,Breakdown,2.26,31093.07
DT000081,Machine-7,Ahmedabad Plant 2,2022-02-24 05:00:00,2022-02-24 09:43:36.495339,4.73,Scheduled Maintenance,1.12,15570.78
DT000082,Machine-12,Ahmedabad Plant 2,2022-02-25 07:00:00,2022-02-25 14:55:22.824639,7.92,Operator Error,2.07,41875.5
DT000083,Machine-8,Rajkot Plant,2022-02-25 10:00:00,2022-02-25 13:20:19.821887,3.34,Cleaning,2.61,37507.13
DT000084,Machine-11,Rajkot Plant,2022-02-26 23:00:00,2022-02-27 02:07:33.359327,3.13,Power Failure,2.29,46653.02
DT000085,Machine-5,Rajkot Plant,2022-02-26 19:00:00,2022-02-26 21:06:10.750186,2.1,Cleaning,1.87,48499.27
DT000086,Machine-21,Rajkot Plant,2022-02-28 22:00:00,2022-03-01 04:39:37.744380,6.66,Scheduled Maintenance,2.05,8139.44
DT000087,Machine-10,Ahmedabad Plant 2,2022-02-28 10:00:00,2022-02-28 13:32:50.726321,3.55,Breakdown,2.13,23434.78
DT000088,Machine-7,Ahmedabad Plant 1,2022-03-01 11:00:00,2022-03-01 18:58:41.262624,7.98,Operator Error,2.38,13418.68
DT000089,Machine-7,Ahmedabad Plant 2,2022-03-01 07:00:00,2022-03-01 11:10:40.431436,4.18,Raw Material Shortage,1.46,31722.94
DT000090,Machine-5,Rajkot Plant,2022-03-01 10:00:00,2022-03-01 13:50:57.241936,3.85,Scheduled Maintenance,1.09,37596.71
DT000091,Machine-9,Ahmedabad Plant 2,2022-03-02 10:00:00,2022-03-02 11:17:59.847380,1.3,Scheduled Maintenance,1.83,18957.2
DT000092,Machine-1,Ahmedabad Plant 2,2022-03-03 16:00:00,2022-03-03 23:44:56.337946,7.75,Cleaning,1.26,20342.37
DT000093,Machine-19,Rajkot Plant,2022-03-04 07:00:00,2022-03-04 12:48:11.353609,5.8,Scheduled Maintenance,0.82,19608.13
DT000094,Machine-5,Ahmedabad Plant 1,2022-03-04 06:00:00,2022-03-04 11:43:09.700244,5.72,Power Failure,0.58,18995.03
DT000095,Machine-25,Rajkot Plant,2022-03-05 13:00:00,2022-03-05 13:33:42.902992,0.56,Scheduled Maintenance,0.88,32188.88
DT000096,Machine-4,Ahmedabad Plant 1,2022-03-05 01:00:00,2022-03-05 04:55:31.301235,3.93,Scheduled Maintenance,0.89,8511.14
DT000097,Machine-11,Ahmedabad Plant 2,2022-03-06 21:00:00,2022-03-06 21:55:20.760656,0.92,Raw Material Shortage,0.71,9323.46
DT000098,Machine-8,Ahmedabad Plant 2,2022-03-06 17:00:00,2022-03-06 18:08:50.442484,1.15,Power Failure,0.64,36366.38
DT000099,Machine-9,Rajkot Plant,2022-03-07 14:00:00,2022-03-07 21:33:34.201114,7.56,Breakdown,2.64,16963.41
DT000100,Machine-7,Ahmedabad Plant 1,2022-03-08 04:00:00,2022-03-08 06:01:55.545073,2.03,Operator Error,0.62,12021.52
DT000101,Machine-18,Ahmedabad Plant 2,2022-03-08 21:00:00,2022-03-09 01:45:29.824906,4.76,Cleaning,3.0,43656.55
DT000102,Machine-18,Rajkot Plant,2022-03-08 03:00:00,2022-03-08 07:21:42.881319,4.36,Operator Error,1.56,11652.16
DT000103,Machine-12,Rajkot Plant,2022-03-10 06:00:00,2022-03-10 09:38:21.963322,3.64,Scheduled Maintenance,1.99,31796.35
DT000104,Machine-9,Ahmedabad Plant 2,2022-03-10 04:00:00,2022-03-10 08:40:53.755044,4.68,Scheduled Maintenance,2.56,27953.77
DT000105,Machine-24,Ahmedabad Plant 1,2022-03-10 08:00:00,2022-03-10 12:02:46.938560,4.05,Scheduled Maintenance,1.26,13110.88
DT000106,Machine-2,Ahmedabad Plant 1,2022-03-11 08:00:00,2022-03-11 08:30:37.906556,0.51,Cleaning,1.31,33488.63
DT000107,Machine-20,Rajkot Plant,2022-03-13 01:00:00,2022-03-13 05:41:30.232759,4.69,Scheduled Maintenance,1.83,39756.95
DT000108,Machine-10,Rajkot Plant,2022-03-13 22:00:00,2022-03-14 00:14:46.863098,2.25,Cleaning,2.2,32322.42
DT000109,Machine-9,Ahmedabad Plant 1,2022-03-14 02:00:00,2022-03-14 05:02:32.768559,3.04,Raw Material Shortage,1.05,30321.04
DT000110,Machine-2,Ahmedabad Plant 1,2022-03-19 09:00:00,2022-03-19 16:35:18.997876,7.59,Breakdown,0.69,47884.32
DT000111,Machine-18,Rajkot Plant,2022-03-19 08:00:00,2022-03-19 11:59:08.469885,3.99,Scheduled Maintenance,2.28,41144.21
DT000112,Machine-6,Ahmedabad Plant 1,2022-03-20 08:00:00,2022-03-20 09:38:10.899520,1.64,Power Failure,0.61,10782.13
DT000113,Machine-18,Rajkot Plant,2022-03-20 22:00:00,2022-03-21 01:03:25.728011,3.06,Cleaning,2.89,6924.89
DT000114,Machine-7,Ahmedabad Plant 1,2022-03-20 13:00:00,2022-03-20 20:23:54.548690,7.4,Cleaning,1.9,9605.34
DT000115,Machine-22,Ahmedabad Plant 1,2022-03-21 00:00:00,2022-03-21 01:38:44.209262,1.65,Cleaning,2.22,32380.41
DT000116,Machine-17,Ahmedabad Plant 1,2022-03-22 13:00:00,2022-03-22 14:45:21.324676,1.76,Operator Error,2.76,10980.68
DT000117,Machine-1,Ahmedabad Plant 2,2022-03-23 01:00:00,2022-03-23 05:20:12.486823,4.34,Breakdown,1.82,44172.61
DT000118,Machine-19,Ahmedabad Plant 2,2022-03-23 08:00:00,2022-03-23 08:39:58.055832,0.67,Breakdown,0.84,12680.54
DT000119,Machine-22,Ahmedabad Plant 1,2022-03-23 17:00:00,2022-03-23 17:58:17.797733,0.97,Scheduled Maintenance,2.08,15331.99
DT000120,Machine-3,Ahmedabad Plant 1,2022-03-25 13:00:00,2022-03-25 17:49:30.085533,4.83,Cleaning,2.46,23383.78
DT000121,Machine-24,Ahmedabad Plant 2,2022-03-26 01:00:00,2022-03-26 07:15:58.957407,6.27,Power Failure,2.44,16854.04
DT000122,Machine-12,Ahmedabad Plant 2,2022-03-26 14:00:00,2022-03-26 14:37:05.104130,0.62,Cleaning,0.76,42058.57
DT000123,Machine-7,Rajkot Plant,2022-03-27 03:00:00,2022-03-27 06:32:23.297505,3.54,Raw Material Shortage,2.6,29638.14
DT000124,Machine-3,Ahmedabad Plant 1,2022-03-27 02:00:00,2022-03-27 03:58:49.675468,1.98,Raw Material Shortage,2.28,30118.39
DT000125,Machine-25,Rajkot Plant,2022-03-27 12:00:00,2022-03-27 15:08:18.740728,3.14,Power Failure,0.72,9603.43
DT000126,Machine-10,Ahmedabad Plant 1,2022-03-28 07:00:00,2022-03-28 08:54:49.813582,1.91,Cleaning,2.18,37758.71
DT000127,Machine-14,Ahmedabad Plant 1,2022-03-28 07:00:00,2022-03-28 12:13:54.728025,5.23,Cleaning,1.34,24821.15
DT000128,Machine-9,Ahmedabad Plant 1,2022-03-28 16:00:00,2022-03-28 21:49:18.114005,5.82,Raw Material Shortage,2.15,39785.61
DT000129,Machine-25,Rajkot Plant,2022-03-30 23:00:00,2022-03-31 01:18:30.713961,2.31,Cleaning,0.51,16989.89
DT000130,Machine-21,Rajkot Plant,2022-03-30 17:00:00,2022-03-30 20:06:33.069538,3.11,Power Failure,2.9,14797.95
DT000131,Machine-25,Ahmedabad Plant 1,2022-03-31 13:00:00,2022-03-31 19:41:52.917470,6.7,Scheduled Maintenance,2.06,12539.15
DT000132,Machine-4,Ahmedabad Plant 1,2022-03-31 16:00:00,2022-03-31 19:31:34.629888,3.53,Operator Error,1.78,20486.76
DT000133,Machine-11,Ahmedabad Plant 1,2022-04-01 12:00:00,2022-04-01 14:11:46.053188,2.2,Breakdown,1.13,31334.26
DT000134,Machine-1,Ahmedabad Plant 2,2022-04-01 04:00:00,2022-04-01 09:39:38.863420,5.66,Raw Material Shortage,1.67,47378.11
DT000135,Machine-24,Ahmedabad Plant 1,2022-04-02 12:00:00,2022-04-02 17:57:51.293507,5.96,Power Failure,2.73,26404.86
DT000136,Machine-9,Rajkot Plant,2022-04-03 17:00:00,2022-04-03 17:36:41.839055,0.61,Breakdown,1.98,41821.67
DT000137,Machine-8,Ahmedabad Plant 1,2022-04-03 21:00:00,2022-04-04 01:31:26.446601,4.52,Cleaning,1.92,48873.69
DT000138,Machine-15,Ahmedabad Plant 2,2022-04-03 09:00:00,2022-04-03 12:14:45.838978,3.25,Operator Error,2.5,27728.34
DT000139,Machine-8,Rajkot Plant,2022-04-04 12:00:00,2022-04-04 15:58:40.197103,3.98,Operator Error,0.86,38677.78
DT000140,Machine-10,Rajkot Plant,2022-04-04 07:00:00,2022-04-04 13:40:28.949400,6.67,Raw Material Shortage,1.58,39358.88
DT000141,Machine-1,Ahmedabad Plant 1,2022-04-05 21:00:00,2022-04-06 01:51:30.261244,4.86,Operator Error,1.14,46567.2
DT000142,Machine-11,Rajkot Plant,2022-04-06 09:00:00,2022-04-06 14:43:32.828170,5.73,Cleaning,2.7,17665.9
DT000143,Machine-23,Ahmedabad Plant 1,2022-04-06 00:00:00,2022-04-06 07:22:21.806112,7.37,Power Failure,1.41,5428.93
DT000144,Machine-9,Ahmedabad Plant 1,2022-04-07 17:00:00,2022-04-07 18:03:45.767825,1.06,Scheduled Maintenance,0.72,14321.45
DT000145,Machine-12,Ahmedabad Plant 2,2022-04-08 18:00:00,2022-04-08 19:53:56.093616,1.9,Breakdown,0.64,45292.66
DT000146,Machine-2,Ahmedabad Plant 1,2022-04-10 23:00:00,2022-04-11 05:42:44.372260,6.71,Power Failure,2.41,26561.0
DT000147,Machine-10,Ahmedabad Plant 2,2022-04-11 18:00:00,2022-04-11 21:41:19.000153,3.69,Breakdown,1.56,16779.53
DT000148,Machine-1,Ahmedabad Plant 1,2022-04-12 18:00:00,2022-04-12 23:03:42.955565,5.06,Raw Material Shortage,0.65,34645.28
DT000149,Machine-17,Rajkot Plant,2022-04-13 05:00:00,2022-04-13 09:21:14.151524,4.35,Breakdown,2.54,48773.39
DT000150,Machine-6,Ahmedabad Plant 2,2022-04-13 10:00:00,2022-04-13 17:04:28.473723,7.07,Power Failure,2.3,24475.25
DT000151,Machine-7,Ahmedabad Plant 1,2022-04-13 05:00:00,2022-04-13 07:06:32.155075,2.11,Cleaning,2.16,14071.96
DT000152,Machine-15,Ahmedabad Plant 2,2022-04-16 05:00:00,2022-04-16 05:39:06.991648,0.65,Breakdown,1.93,22735.87
DT000153,Machine-4,Ahmedabad Plant 2,2022-04-17 04:00:00,2022-04-17 11:04:12.503992,7.07,Raw Material Shortage,2.11,34126.25
DT000154,Machine-19,Ahmedabad Plant 2,2022-04-17 23:00:00,2022-04-18 05:24:33.112286,6.41,Operator Error,1.34,48117.74
DT000155,Machine-25,Rajkot Plant,2022-04-18 01:00:00,2022-04-18 03:09:35.680270,2.16,Operator Error,2.68,45987.85
DT000156,Machine-18,Rajkot Plant,2022-04-18 21:00:00,2022-04-18 21:47:34.090175,0.79,Power Failure,2.08,38723.94
DT000157,Machine-6,Ahmedabad Plant 1,2022-04-18 11:00:00,2022-04-18 18:39:13.420925,7.65,Scheduled Maintenance,1.13,30283.26
DT000158,Machine-23,Ahmedabad Plant 2,2022-04-19 18:00:00,2022-04-20 00:17:54.171630,6.3,Operator Error,0.87,43384.2
DT000159,Machine-22,Rajkot Plant,2022-04-19 16:00:00,2022-04-19 19:31:38.226848,3.53,Power Failure,2.1,6891.71
DT000160,Machine-10,Ahmedabad Plant 1,2022-04-20 10:00:00,2022-04-20 12:10:19.275746,2.17,Cleaning,1.7,18014.43
DT000161,Machine-24,Ahmedabad Plant 1,2022-04-20 15:00:00,2022-04-20 22:41:01.767828,7.68,Scheduled Maintenance,2.49,43919.6
DT000162,Machine-4,Ahmedabad Plant 2,2022-04-21 16:00:00,2022-04-21 19:59:50.583456,4.0,Breakdown,1.68,41233.51
DT000163,Machine-21,Ahmedabad Plant 1,2022-04-21 23:00:00,2022-04-22 02:24:23.384001,3.41,Operator Error,1.7,28786.54
DT000164,Machine-17,Ahmedabad Plant 1,2022-04-23 05:00:00,2022-04-23 10:03:13.257303,5.05,Power Failure,2.12,35633.83
DT000165,Machine-6,Ahmedabad Plant 2,2022-04-24 14:00:00,2022-04-24 17:49:48.250058,3.83,Raw Material Shortage,1.24,46406.94
DT000166,Machine-22,Rajkot Plant,2022-04-24 13:00:00,2022-04-24 19:42:01.485838,6.7,Raw Material Shortage,0.51,28081.55
DT000167,Machine-2,Ahmedabad Plant 2,2022-04-25 12:00:00,2022-04-25 14:33:34.282238,2.56,Operator Error,2.11,27618.79
DT000168,Machine-23,Ahmedabad Plant 1,2022-04-25 02:00:00,2022-04-25 02:39:31.494657,0.66,Cleaning,2.32,17392.4
DT000169,Machine-19,Ahmedabad Plant 2,2022-04-25 14:00:00,2022-04-25 16:27:06.386017,2.45,Breakdown,0.58,42275.13
DT000170,Machine-14,Ahmedabad Plant 1,2022-04-26 08:00:00,2022-04-26 12:50:28.666787,4.84,Power Failure,1.71,35411.58
DT000171,Machine-25,Rajkot Plant,2022-04-27 22:00:00,2022-04-28 01:05:24.992338,3.09,Breakdown,1.92,16217.3
DT000172,Machine-3,Ahmedabad Plant 1,2022-04-27 04:00:00,2022-04-27 04:58:19.788884,0.97,Operator Error,1.9,14953.63
DT000173,Machine-13,Ahmedabad Plant 2,2022-04-28 11:00:00,2022-04-28 17:07:31.138886,6.13,Raw Material Shortage,1.63,16267.93
DT000174,Machine-18,Ahmedabad Plant 1,2022-04-28 12:00:00,2022-04-28 17:03:45.338434,5.06,Scheduled Maintenance,0.79,39264.07
DT000175,Machine-5,Rajkot Plant,2022-04-29 17:00:00,2022-04-29 20:53:28.804820,3.89,Cleaning,2.53,11214.34
DT000176,Machine-14,Rajkot Plant,2022-04-29 05:00:00,2022-04-29 08:22:08.641470,3.37,Operator Error,0.95,7753.8
DT000177,Machine-25,Rajkot Plant,2022-04-29 22:00:00,2022-04-30 05:39:54.386221,7.67,Operator Error,2.32,19652.24
DT000178,Machine-12,Ahmedabad Plant 2,2022-04-30 02:00:00,2022-04-30 04:20:46.059992,2.35,Cleaning,1.01,6935.47
DT000179,Machine-19,Ahmedabad Plant 2,2022-04-30 03:00:00,2022-04-30 04:16:12.072715,1.27,Power Failure,0.76,34981.92
DT000180,Machine-25,Rajkot Plant,2022-05-01 21:00:00,2022-05-02 01:57:37.105863,4.96,Scheduled Maintenance,1.92,38050.84
DT000181,Machine-21,Rajkot Plant,2022-05-01 13:00:00,2022-05-01 15:23:01.650911,2.38,Scheduled Maintenance,1.36,10701.58
DT000182,Machine-5,Ahmedabad Plant 1,2022-05-01 14:00:00,2022-05-01 18:54:28.193330,4.91,Scheduled Maintenance,2.83,43841.2
DT000183,Machine-1,Ahmedabad Plant 2,2022-05-02 22:00:00,2022-05-03 02:39:44.967908,4.66,Scheduled Maintenance,2.11,49653.9
DT000184,Machine-8,Ahmedabad Plant 2,2022-05-02 10:00:00,2022-05-02 14:22:48.577484,4.38,Power Failure,2.68,27529.58
DT000185,Machine-2,Ahmedabad Plant 1,2022-05-04 15:00:00,2022-05-04 15:51:32.446517,0.86,Raw Material Shortage,2.84,10034.61
DT000186,Machine-1,Ahmedabad Plant 2,2022-05-05 01:00:00,2022-05-05 06:46:53.076246,5.78,Operator Error,1.09,45546.65
DT000187,Machine-20,Ahmedabad Plant 1,2022-05-06 01:00:00,2022-05-06 03:00:13.198557,2.0,Power Failure,0.85,24742.08
DT000188,Machine-10,Ahmedabad Plant 1,2022-05-07 09:00:00,2022-05-07 13:13:30.380663,4.23,Operator Error,2.55,39308.12
DT000189,Machine-10,Ahmedabad Plant 2,2022-05-07 03:00:00,2022-05-07 05:57:43.257972,2.96,Operator Error,1.46,30950.17
DT000190,Machine-25,Ahmedabad Plant 2,2022-05-07 21:00:00,2022-05-08 01:38:12.552689,4.64,Cleaning,2.66,26261.32
DT000191,Machine-3,Rajkot Plant,2022-05-09 23:00:00,2022-05-10 06:12:04.743200,7.2,Power Failure,1.01,44043.16
DT000192,Machine-12,Rajkot Plant,2022-05-09 02:00:00,2022-05-09 04:46:55.900355,2.78,Scheduled Maintenance,2.47,30442.43
