shipment_id,order_id,destination_country,shipping_method,departure_date,arrival_date,transit_days,customs_cleared,shipping_cost_inr,container_number
SHIP0000050,ORD00000050,Singapore,Road Transport,2022-10-17,2022-10-28,11,Yes,71826.78,CONT837754
SHIP0000051,ORD00000051,Singapore,Road Transport,2022-04-22,2022-04-30,8,Yes,189591.2,CONT153018
SHIP0000052,ORD00000052,Singapore,Sea Freight,2024-02-10,2024-02-18,8,Yes,138565.94,CONT541235
SHIP0000053,ORD00000053,Singapore,Road Transport,2022-02-20,2022-02-27,7,Yes,255053.34,CONT634523
SHIP0000054,ORD00000054,Singapore,Sea Freight,2024-06-24,2024-07-06,12,Yes,125553.62,CONT313618
SHIP0000055,ORD00000055,South Africa,Road Transport,2023-07-06,2023-07-16,10,Pending,162813.55,CONT258748
SHIP0000056,ORD00000056,South Africa,Sea Freight,2024-04-17,2024-05-10,23,Yes,193422.87,CONT475411
SHIP0000057,ORD00000057,South Africa,Sea Freight,2022-12-18,2023-01-01,14,Pending,58830.45,CONT773875
SHIP0000058,ORD00000058,South Africa,Air Cargo,2024-07-27,2024-08-11,15,Yes,202220.24,CONT682788
SHIP0000059,ORD00000059,South Africa,Road Transport,2022-09-23,2022-10-10,17,Yes,136066.02,CONT946306
SHIP0000060,ORD00000060,South Africa,Sea Freight,2023-12-12,2024-01-03,22,No,182294.31,CONT603403
SHIP0000061,ORD00000061,South Africa,Road Transport,2022-08-08,2022-08-22,14,Yes,81207.4,CONT317316
SHIP0000062,ORD00000062,South Africa,Sea Freight,2023-01-09,2023-01-28,19,Yes,133955.22,CONT557934
SHIP0000063,ORD00000063,South Africa,Road Transport,2024-11-12,2024-11-22,10,Pending,195449.68,CONT454763
SHIP0000064,ORD00000064,South Africa,Road Transport,2023-06-27,2023-07-18,21,No,192895.0,CONT966982
SHIP0000065,ORD00000065,South Africa,Road Transport,2024-11-18,2024-12-09,21,Yes,89490.47,CONT605499
SHIP0000066,ORD00000066,South Africa,Air Cargo,2024-05-12,2024-06-06,25,Yes,153674.27,CONT107150
SHIP0000067,ORD00000067,South Africa,Sea Freight,2023-12-12,2023-12-31,19,Yes,179875.64,CONT585301
SHIP0000068,ORD00000068,South Africa,Road Transport,2024-02-15,2024-03-04,18,Yes,70306.27,CONT889491
SHIP0000069,ORD00000069,South Africa,Sea Freight,2022-12-27,2023-01-16,20,Yes,199843.0,CONT822227
SHIP0000070,ORD00000070,South Africa,Sea Freight,2024-10-15,2024-11-03,19,Yes,107929.81,CONT188242
SHIP0000071,ORD00000071,South Africa,Road Transport,2023-11-21,2023-12-06,15,Yes,280051.93,CONT585419
SHIP0000072,ORD00000072,Nepal,Sea Freight,2022-11-23,2022-12-11,18,Yes,117135.97,CONT152773
SHIP0000073,ORD00000073,Nepal,Sea Freight,2023-06-20,2023-07-13,23,Pending,246839.96,CONT776697
SHIP0000074,ORD00000074,Nepal,Air Cargo,2022-01-12,2022-02-02,21,Yes,195540.09,CONT612006
SHIP0000075,ORD00000075,Nepal,Road Transport,2023-07-02,2023-07-22,20,Yes,221336.75,CONT697948
SHIP0000076,ORD00000076,Nepal,Road Transport,2022-12-10,2023-01-04,25,Yes,275440.51,CONT127119
SHIP0000077,ORD00000077,Nepal,Air Cargo,2023-09-16,2023-10-07,21,Yes,261953.34,CONT268769
SHIP0000078,ORD00000078,Nepal,Road Transport,2023-06-17,2023-07-11,24,Yes,81936.27,CONT589709
SHIP0000079,ORD00000079,Nepal,Sea Freight,2022-08-13,2022-08-31,18,Yes,283436.11,CONT800079
SHIP0000080,ORD00000080,Nepal,Road Transport,2022-07-07,2022-07-29,22,Yes,84668.51,CONT973206
SHIP0000081,ORD00000081,Nepal,Sea Freight,2022-11-11,2022-11-26,15,Yes,129097.34,CONT972627
SHIP0000082,ORD00000082,Malaysia,Road Transport,2022-10-06,2022-10-16,10,Yes,180783.35,CONT320278
SHIP0000083,ORD00000083,Malaysia,Road Transport,2024-10-02,2024-10-13,11,Yes,283337.37,CONT884874
SHIP0000084,ORD00000084,Malaysia,Air Cargo,2024-10-29,2024-11-07,9,Yes,206796.47,CONT149804
SHIP0000085,ORD00000085,Malaysia,Sea Freight,2023-03-27,2023-04-04,8,Yes,268737.77,CONT433038
SHIP0000086,ORD00000086,Malaysia,Road Transport,2022-06-16,2022-06-24,8,Yes,285430.24,CONT330154
SHIP0000087,ORD00000087,Malaysia,Road Transport,2023-07-13,2023-07-23,10,Yes,237121.17,CONT500305
SHIP0000088,ORD00000088,Malaysia,Road Transport,2024-12-19,2024-12-30,11,Yes,170476.76,CONT760655
SHIP0000089,ORD00000089,Malaysia,Sea Freight,2022-11-22,2022-12-04,12,Yes,147003.52,CONT562827
SHIP0000090,ORD00000090,Malaysia,Air Cargo,2022-06-19,2022-06-25,6,Yes,118792.19,CONT304545
SHIP0000091,ORD00000091,Malaysia,Sea Freight,2023-01-13,2023-01-21,8,Yes,176648.18,CONT394954
SHIP0000092,ORD00000092,Malaysia,Sea Freight,2023-06-19,2023-06-24,5,Yes,62009.06,CONT422046
SHIP0000093,ORD00000093,Malaysia,Air Cargo,2024-02-09,2024-02-15,6,Yes,107037.17,CONT491868
SHIP0000094,ORD00000094,Malaysia,Air Cargo,2022-12-18,2022-12-29,11,Yes,139582.77,CONT317598
SHIP0000095,ORD00000095,Malaysia,Road Transport,2022-10-25,2022-11-01,7,Yes,263345.17,CONT340552
SHIP0000096,ORD00000096,Malaysia,Sea Freight,2023-10-05,2023-10-17,12,Pending,144026.43,CONT679716
SHIP0000097,ORD00000097,Malaysia,Sea Freight,2023-08-07,2023-08-17,10,Pending,109880.97,CONT575314
SHIP0000098,ORD00000098,Malaysia,Sea Freight,2024-11-10,2024-11-20,10,Yes,245673.1,CONT345474
SHIP0000099,ORD00000099,Malaysia,Sea Freight,2024-06-08,2024-06-20,12,Yes,285789.78,CONT141207
SHIP0000100,ORD00000100,Malaysia,Road Transport,2024-05-06,2024-05-16,10,Yes,243696.0,CONT771484
SHIP0000101,ORD00000101,Malaysia,Air Cargo,2024-09-26,2024-10-06,10,No,81442.48,CONT120078
SHIP0000102,ORD00000102,UK,Air Cargo,2023-03-30,2023-04-22,23,Yes,130082.58,CONT970413
SHIP0000103,ORD00000103,UK,Road Transport,2023-06-27,2023-07-08,11,Yes,200723.04,CONT448733
SHIP0000104,ORD00000104,UK,Road Transport,2023-12-15,2024-01-03,19,Yes,99003.86,CONT676347
SHIP0000105,ORD00000105,UK,Sea Freight,2022-09-22,2022-10-15,23,Yes,209145.17,CONT619605
SHIP0000106,ORD00000106,UK,Air Cargo,2022-12-23,2023-01-03,11,Yes,109006.95,CONT492639
SHIP0000107,ORD00000107,UK,Road Transport,2022-12-22,2023-01-15,24,Yes,185677.79,CONT502184
SHIP0000108,ORD00000108,UK,Air Cargo,2024-11-22,2024-12-10,18,Yes,226690.35,CONT993061
SHIP0000109,ORD00000109,UK,Sea Freight,2023-11-14,2023-11-25,11,Yes,246703.17,CONT814877
SHIP0000110,ORD00000110,UK,Sea Freight,2022-11-08,2022-11-27,19,Yes,250139.66,CONT321074
SHIP0000111,ORD00000111,UK,Sea Freight,2024-02-08,2024-03-02,23,Yes,243689.22,CONT955190
SHIP0000112,ORD00000112,Qatar,Sea Freight,2023-08-14,2023-08-21,7,Yes,84275.39,CONT828028
SHIP0000113,ORD00000113,Qatar,Sea Freight,2022-12-02,2022-12-07,5,Yes,297330.82,CONT140083
SHIP0000114,ORD00000114,Qatar,Sea Freight,2023-09-02,2023-09-05,3,Yes,243038.19,CONT602983
SHIP0000115,ORD00000115,Qatar,Sea Freight,2022-11-29,2022-12-04,5,Yes,76033.24,CONT200794
SHIP0000116,ORD00000116,Qatar,Sea Freight,2023-03-15,2023-03-19,4,Yes,224391.78,CONT301394
SHIP0000117,ORD00000117,Qatar,Air Cargo,2023-01-10,2023-01-13,3,Yes,167500.29,CONT628074
SHIP0000118,ORD00000118,Qatar,Road Transport,2023-03-30,2023-04-05,6,Yes,156991.31,CONT528617
SHIP0000119,ORD00000119,Qatar,Air Cargo,2024-11-17,2024-11-22,5,Yes,219153.46,CONT354530
SHIP0000120,ORD00000120,UAE,Sea Freight,2022-10-22,2022-10-25,3,Yes,91973.96,CONT336933
SHIP0000121,ORD00000121,UAE,Sea Freight,2022-06-16,2022-06-21,5,Yes,299857.3,CONT178430
SHIP0000122,ORD00000122,UAE,Road Transport,2022-07-14,2022-07-20,6,Yes,186121.19,CONT848326
SHIP0000123,ORD00000123,UAE,Road Transport,2023-12-31,2024-01-05,5,Yes,198658.81,CONT363641
SHIP0000124,ORD00000124,UAE,Road Transport,2023-10-27,2023-11-04,8,Yes,156298.35,CONT795192
SHIP0000125,ORD00000125,UAE,Sea Freight,2023-05-24,2023-06-01,8,Yes,201480.3,CONT333578
SHIP0000126,ORD00000126,UAE,Air Cargo,2023-05-01,2023-05-04,3,Yes,216003.04,CONT409546
SHIP0000127,ORD00000127,UAE,Air Cargo,2023-03-09,2023-03-12,3,Yes,136373.89,CONT128092
SHIP0000128,ORD00000128,UAE,Road Transport,2023-07-01,2023-07-05,4,Yes,165521.19,CONT580359
SHIP0000129,ORD00000129,UAE,Road Transport,2024-09-04,2024-09-11,7,Yes,113899.14,CONT626315
SHIP0000130,ORD00000130,UAE,Road Transport,2024-10-11,2024-10-18,7,Yes,242988.02,CONT206566
SHIP0000131,ORD00000131,UAE,Sea Freight,2023-06-17,2023-06-24,7,Yes,234343.53,CONT851583
SHIP0000132,ORD00000132,UAE,Sea Freight,2024-12-01,2024-12-04,3,Yes,252733.48,CONT834916
SHIP0000133,ORD00000133,UAE,Road Transport,2022-05-01,2022-05-07,6,Yes,225708.16,CONT849640
SHIP0000134,ORD00000134,UAE,Road Transport,2022-12-18,2022-12-22,4,Yes,55025.41,CONT873446
SHIP0000135,ORD00000135,Nepal,Road Transport,2024-06-07,2024-06-20,13,Yes,97787.04,CONT760975
SHIP0000136,ORD00000136,Nepal,Sea Freight,2023-06-04,2023-06-29,25,Pending,147153.22,CONT918753
SHIP0000137,ORD00000137,Nepal,Road Transport,2024-06-19,2024-07-11,22,Yes,108546.27,CONT470479
SHIP0000138,ORD00000138,Nepal,Sea Freight,2024-04-18,2024-05-08,20,Yes,182924.65,CONT162545
SHIP0000139,ORD00000139,Nepal,Road Transport,2023-06-14,2023-07-07,23,Yes,274529.9,CONT349729
SHIP0000140,ORD00000140,Nepal,Sea Freight,2022-02-22,2022-03-19,25,Yes,234513.0,CONT794310
SHIP0000141,ORD00000141,Nepal,Sea Freight,2022-08-06,2022-08-21,15,No,116636.71,CONT596398
SHIP0000142,ORD00000142,Nepal,Sea Freight,2022-05-15,2022-05-30,15,No,149392.38,CONT315036
SHIP0000143,ORD00000143,Nepal,Air Cargo,2024-06-01,2024-06-12,11,Yes,62988.06,CONT493616
SHIP0000144,ORD00000144,Nepal,Sea Freight,2024-09-07,2024-09-24,17,Pending,51559.7,CONT895574
SHIP0000145,ORD00000145,Nepal,Road Transport,2022-05-30,2022-06-11,12,Yes,156283.54,CONT894582
SHIP0000146,ORD00000146,Nepal,Sea Freight,2022-04-18,2022-05-09,21,Yes,231984.03,CONT208995
SHIP0000147,ORD00000147,Nepal,Road Transport,2024-08-24,2024-09-07,14,Yes,265202.06,CONT408654
SHIP0000148,ORD00000148,Nepal,Road Transport,2023-06-28,2023-07-14,16,Yes,157869.04,CONT976619
SHIP0000149,ORD00000149,Nepal,Sea Freight,2023-08-18,2023-08-31,13,Yes,95063.55,CONT937979
SHIP0000150,ORD00000150,Nepal,Air Cargo,2021-12-30,2022-01-14,15,Yes,115343.64,CONT269039
SHIP0000151,ORD00000151,Nepal,Air Cargo,2022-09-17,2022-10-08,21,Yes,161369.28,CONT395774
SHIP0000152,ORD00000152,Nepal,Air Cargo,2023-09-30,2023-10-10,10,Yes,212397.06,CONT886252
SHIP0000153,ORD00000153,Nepal,Air Cargo,2022-12-20,2023-01-05,16,Yes,185707.79,CONT577762
SHIP0000154,ORD00000154,Nepal,Road Transport,2024-04-23,2024-05-15,22,Yes,260153.72,CONT374951
SHIP0000155,ORD00000155,Nepal,Road Transport,2024-10-18,2024-10-28,10,Pending,54630.29,CONT525108
SHIP0000156,ORD00000156,Nepal,Air Cargo,2023-05-21,2023-06-06,16,Yes,298031.7,CONT772063
SHIP0000157,ORD00000157,Nepal,Air Cargo,2022-04-01,2022-04-21,20,No,282301.55,CONT449736
SHIP0000158,ORD00000158,Nepal,Road Transport,2023-04-21,2023-05-04,13,Yes,87408.89,CONT612978
SHIP0000159,ORD00000159,Nepal,Road Transport,2022-06-28,2022-07-13,15,Yes,62041.81,CONT776451
SHIP0000160,ORD00000160,Nepal,Sea Freight,2023-04-23,2023-05-11,18,Yes,204414.02,CONT184444
SHIP0000161,ORD00000161,Nepal,Sea Freight,2021-12-24,2022-01-11,18,Pending,230350.96,CONT137038
SHIP0000162,ORD00000162,Nepal,Road Transport,2023-12-10,2023-12-28,18,Yes,168818.9,CONT545308
SHIP0000163,ORD00000163,Nepal,Air Cargo,2024-08-09,2024-08-25,16,Yes,119566.37,CONT818272
SHIP0000164,ORD00000164,Nepal,Sea Freight,2022-05-20,2022-06-06,17,No,209788.46,CONT889114
SHIP0000165,ORD00000165,Nepal,Sea Freight,2024-04-20,2024-05-12,22,Yes,208959.16,CONT192258
SHIP0000166,ORD00000166,Nepal,Road Transport,2024-04-23,2024-05-07,14,Yes,87083.05,CONT980794
SHIP0000167,ORD00000167,Nepal,Air Cargo,2022-09-28,2022-10-21,23,Yes,249871.54,CONT943272
SHIP0000168,ORD00000168,Nepal,Road Transport,2023-10-21,2023-11-12,22,Yes,237377.71,CONT797205
SHIP0000169,ORD00000169,Nepal,Road Transport,2023-01-29,2023-02-20,22,Yes,71206.55,CONT721502
SHIP0000170,ORD00000170,Nepal,Sea Freight,2023-05-09,2023-05-28,19,Pending,165615.77,CONT835153
SHIP0000171,ORD00000171,Nepal,Road Transport,2022-11-11,2022-12-02,21,Yes,148352.68,CONT890784
SHIP0000172,ORD00000172,Nepal,Sea Freight,2022-08-19,2022-09-05,17,No,165618.0,CONT572473
SHIP0000173,ORD00000173,Nepal,Sea Freight,2022-07-27,2022-08-16,20,Yes,165323.3,CONT651894
SHIP0000174,ORD00000174,Nepal,Sea Freight,2022-07-11,2022-07-23,12,Yes,181012.1,CONT952846
SHIP0000175,ORD00000175,Nepal,Sea Freight,2023-10-19,2023-11-11,23,Yes,119301.04,CONT983739
SHIP0000176,ORD00000176,Nepal,Road Transport,2022-12-27,2023-01-07,11,Yes,167408.73,CONT511459
SHIP0000177,ORD00000177,Nepal,Air Cargo,2023-03-09,2023-04-03,25,Yes,74873.65,CONT341512
SHIP0000178,ORD00000178,Nepal,Road Transport,2023-11-06,2023-11-16,10,Yes,94172.0,CONT672580
SHIP0000179,ORD00000179,Nepal,Air Cargo,2023-08-12,2023-08-31,19,Pending,72008.04,CONT849990
SHIP0000180,ORD00000180,Nepal,Road Transport,2021-12-27,2022-01-18,22,No,96543.65,CONT284718
SHIP0000181,ORD00000181,Nepal,Air Cargo,2023-02-12,2023-03-03,19,Yes,51082.73,CONT153800
SHIP0000182,ORD00000182,Nepal,Road Transport,2024-08-30,2024-09-11,12,Yes,59457.69,CONT934758
SHIP0000183,ORD00000183,Nepal,Road Transport,2023-11-22,2023-12-16,24,Yes,249158.62,CONT591331
SHIP0000184,ORD00000184,Nepal,Sea Freight,2023-09-11,2023-09-27,16,Yes,99781.83,CONT480229
SHIP0000185,ORD00000185,Oman,Road Transport,2023-02-17,2023-02-23,6,Yes,179997.46,CONT759190
SHIP0000186,ORD00000186,Oman,Road Transport,2024-07-20,2024-07-24,4,Yes,142592.38,CONT215603
SHIP0000187,ORD00000187,Oman,Road Transport,2023-12-20,2023-12-25,5,Yes,132257.24,CONT879279
SHIP0000188,ORD00000188,Oman,Road Transport,2022-09-08,2022-09-15,7,Yes,264275.3,CONT866872
SHIP0000189,ORD00000189,Oman,Sea Freight,2023-07-16,2023-07-19,3,Yes,171556.93,CONT808333
SHIP0000190,ORD00000190,Oman,Air Cargo,2023-04-26,2023-04-30,4,Pending,179201.28,CONT155556
SHIP0000191,ORD00000191,Oman,Road Transport,2024-10-14,2024-10-18,4,Yes,164776.61,CONT755050
SHIP0000192,ORD00000192,Oman,Sea Freight,2024-07-05,2024-07-13,8,Yes,117234.54,CONT529866
SHIP0000193,ORD00000193,Oman,Road Transport,2022-10-21,2022-10-26,5,Yes,220812.88,CONT283131
SHIP0000194,ORD00000194,Oman,Air Cargo,2023-07-06,2023-07-12,6,Yes,61794.89,CONT215975
SHIP0000195,ORD00000195,Oman,Road Transport,2022-02-07,2022-02-12,5,Yes,120368.42,CONT413082
SHIP0000196,ORD00000214,Bahrain,Sea Freight,2023-10-05,2023-10-08,3,Yes,215379.06,CONT660216
SHIP0000197,ORD00000215,Bahrain,Road Transport,2023-12-26,2024-01-01,6,Yes,58354.29,CONT266156
SHIP0000198,ORD00000216,Bahrain,Air Cargo,2024-11-03,2024-11-09,6,Yes,56426.94,CONT771516
SHIP0000199,ORD00000217,Bahrain,Sea Freight,2023-07-17,2023-07-22,5,Yes,143191.29,CONT776648
SHIP0000200,ORD00000218,Bahrain,Sea Freight,2023-11-21,2023-11-24,3,Yes,112794.6,CONT785398
SHIP0000201,ORD00000219,Bahrain,Air Cargo,2024-02-05,2024-02-13,8,Yes,225240.14,CONT696202
SHIP0000202,ORD00000220,Bahrain,Road Transport,2024-02-23,2024-02-27,4,Yes,238985.74,CONT508559
SHIP0000203,ORD00000221,Bahrain,Sea Freight,2022-09-10,2022-09-15,5,Yes,59059.93,CONT768985
SHIP0000204,ORD00000222,Bahrain,Air Cargo,2022-01-16,2022-01-19,3,Yes,159098.55,CONT943804
SHIP0000205,ORD00000223,Bahrain,Air Cargo,2024-01-24,2024-01-29,5,Yes,285803.71,CONT481177
SHIP0000206,ORD00000224,Bahrain,Sea Freight,2024-12-23,2024-12-26,3,Yes,128240.71,CONT137140
SHIP0000207,ORD00000225,Bahrain,Sea Freight,2024-07-29,2024-08-04,6,Yes,99239.5,CONT282699
SHIP0000208,ORD00000226,South Africa,Road Transport,2023-01-19,2023-02-07,19,Yes,180324.46,CONT724205
SHIP0000209,ORD00000227,South Africa,Sea Freight,2022-04-01,2022-04-18,17,Yes,162728.68,CONT315534
SHIP0000210,ORD00000228,South Africa,Sea Freight,2023-06-29,2023-07-09,10,Yes,104877.52,CONT519798
SHIP0000211,ORD00000229,South Africa,Road Transport,2023-08-07,2023-08-21,14,Yes,106692.35,CONT501581
SHIP0000212,ORD00000230,South Africa,Air Cargo,2022-12-16,2023-01-04,19,Yes,221676.71,CONT318691
SHIP0000213,ORD00000231,South Africa,Road Transport,2023-06-17,2023-07-05,18,No,130729.99,CONT555033
SHIP0000214,ORD00000232,South Africa,Air Cargo,2024-04-01,2024-04-15,14,Yes,296507.05,CONT587054
SHIP0000215,ORD00000233,South Africa,Road Transport,2023-02-05,2023-03-01,24,Yes,122449.93,CONT873584
SHIP0000216,ORD00000234,South Africa,Air Cargo,2022-02-04,2022-02-17,13,Yes,186972.33,CONT113522
SHIP0000217,ORD00000235,South Africa,Sea Freight,2022-01-22,2022-02-08,17,Yes,68281.06,CONT129634
SHIP0000218,ORD00000236,South Africa,Sea Freight,2023-09-17,2023-10-11,24,Yes,184706.13,CONT585035
SHIP0000219,ORD00000237,South Africa,Air Cargo,2022-11-09,2022-11-21,12,Yes,165152.36,CONT262322
SHIP0000220,ORD00000238,South Africa,Sea Freight,2023-11-03,2023-11-28,25,Yes,137336.83,CONT648300
SHIP0000221,ORD00000239,South Africa,Air Cargo,2024-03-23,2024-04-17,25,Yes,157406.13,CONT392156
SHIP0000222,ORD00000240,South Africa,Sea Freight,2022-10-04,2022-10-29,25,Yes,94616.66,CONT352276
SHIP0000223,ORD00000241,South Africa,Air Cargo,2023-11-15,2023-12-09,24,No,255057.63,CONT511001
SHIP0000224,ORD00000242,South Africa,Air Cargo,2022-10-01,2022-10-24,23,Yes,280448.05,CONT115366
SHIP0000225,ORD00000243,South Africa,Road Transport,2024-05-16,2024-06-07,22,Yes,259374.1,CONT635795
SHIP0000226,ORD00000244,South Africa,Road Transport,2022-02-10,2022-02-20,10,Yes,251217.71,CONT534246
SHIP0000227,ORD00000245,South Africa,Sea Freight,2024-06-01,2024-06-25,24,Yes,187096.05,CONT187275
SHIP0000228,ORD00000246,South Africa,Air Cargo,2023-07-26,2023-08-17,22,Yes,133411.95,CONT646043
SHIP0000229,ORD00000247,South Africa,Air Cargo,2024-11-12,2024-11-30,18,Yes,92984.14,CONT221728
SHIP0000230,ORD00000248,South Africa,Air Cargo,2024-07-29,2024-08-21,23,Pending,254936.48,CONT686705
SHIP0000231,ORD00000249,Malaysia,Air Cargo,2023-01-01,2023-01-10,9,Yes,60865.3,CONT910136
SHIP0000232,ORD00000250,Malaysia,Air Cargo,2022-07-06,2022-07-18,12,Yes,95253.19,CONT126857
SHIP0000233,ORD00000251,Malaysia,Air Cargo,2023-11-15,2023-11-20,5,Pending,150433.05,CONT879950
SHIP0000234,ORD00000252,Malaysia,Road Transport,2022-09-03,2022-09-12,9,Yes,98655.62,CONT360061
SHIP0000235,ORD00000253,Malaysia,Sea Freight,2023-01-03,2023-01-08,5,Yes,195748.63,CONT507027
SHIP0000236,ORD00000254,Malaysia,Sea Freight,2023-10-15,2023-10-25,10,Yes,231042.03,CONT308513
SHIP0000237,ORD00000255,Malaysia,Air Cargo,2024-09-17,2024-09-23,6,Yes,277272.62,CONT938704
SHIP0000238,ORD00000256,Malaysia,Sea Freight,2024-12-06,2024-12-16,10,Yes,102610.79,CONT505468
SHIP0000239,ORD00000257,Malaysia,Sea Freight,2024-10-06,2024-10-12,6,Yes,119903.59,CONT492626
SHIP0000240,ORD00000258,Malaysia,Sea Freight,2022-10-23,2022-10-30,7,Yes,229182.8,CONT728517
