batch_id,production_date,product_sku,raw_material_used_mt,finished_goods_mt,plant_location,shift,operator_id,temperature_celsius,processing_time_hours
PR20220105911,2022-01-05,HF-FF-CRINKLE-2.5KG,7.77,6.13,Ahmedabad Plant 1,Morning,OP240,-19.7,5.7
PR20220105611,2022-01-05,HF-FF-SHOESTRING-2.5KG,6.48,5.05,Ahmedabad Plant 2,Morning,OP245,-18.7,2.1
PR20220105315,2022-01-05,HF-FF-WEDGES-2.5KG,6.99,6.01,Rajkot Plant,Night,OP112,-19.3,3.4
PR20220105828,2022-01-05,HF-ALOO-TIKKI-1KG,2.46,2.09,Rajkot Plant,Morning,OP142,-19.5,5.7
PR20220105249,2022-01-05,HF-FF-CRINKLE-2.5KG,6.38,5.47,Ahmedabad Plant 1,Morning,OP103,-19.5,4.5
PR20220105289,2022-01-05,HF-PATTY-ALOO-1KG,4.56,3.95,Ahmedabad Plant 1,Morning,OP104,-19.3,3.6
PR20220105164,2022-01-05,HF-POTATO-CHEESE-BALLS-500G,2.5,1.97,Ahmedabad Plant 2,Evening,OP211,-19.1,3.1
PR20220105488,2022-01-05,HF-FF-CRINKLE-2.5KG,3.33,2.73,Ahmedabad Plant 1,Morning,OP230,-18.3,5.2
PR20220105961,2022-01-05,HF-ALOO-TIKKI-1KG,4.91,4.05,Rajkot Plant,Night,OP223,-18.3,3.3
PR20220105832,2022-01-05,HF-HASH-BROWN-1KG,4.46,3.81,Ahmedabad Plant 1,Morning,OP240,-19.5,2.9
PR20220105185,2022-01-05,HF-PATTY-BURGER-1KG,5.7,4.46,Ahmedabad Plant 1,Evening,OP198,-20.0,5.8
PR20220105915,2022-01-05,HF-FF-CRINKLE-2.5KG,5.38,4.52,Ahmedabad Plant 2,Morning,OP160,-19.6,4.9
PR20220105666,2022-01-05,HF-PATTY-BURGER-1KG,6.2,5.42,Ahmedabad Plant 2,Night,OP162,-19.2,4.5
PR20220105756,2022-01-05,HF-FF-CRINKLE-2.5KG,7.1,5.94,Rajkot Plant,Night,OP112,-19.5,2.9
PR20220106382,2022-01-06,HF-HASH-BROWN-1KG,4.23,3.25,Rajkot Plant,Night,OP135,-19.0,3.8
PR20220106299,2022-01-06,HF-PATTY-CUTLET-1KG,7.98,6.62,Ahmedabad Plant 2,Evening,OP250,-19.6,3.3
PR20220106423,2022-01-06,HF-FF-CRINKLE-2.5KG,6.99,5.8,Ahmedabad Plant 1,Morning,OP150,-19.4,3.2
PR20220106850,2022-01-06,HF-FF-SHOESTRING-2.5KG,5.29,4.4,Ahmedabad Plant 2,Evening,OP146,-19.2,5.7
PR20220106103,2022-01-06,HF-PATTY-CUTLET-1KG,7.39,6.48,Ahmedabad Plant 2,Evening,OP250,-19.3,5.9
PR20220106488,2022-01-06,HF-POTATO-SMILES-500G,6.99,5.49,Ahmedabad Plant 1,Evening,OP105,-18.9,3.0
PR20220106805,2022-01-06,HF-FF-SHOESTRING-2.5KG,2.03,1.57,Ahmedabad Plant 2,Evening,OP199,-18.0,4.9
PR20220106532,2022-01-06,HF-PATTY-BURGER-1KG,4.55,3.6,Ahmedabad Plant 1,Morning,OP103,-19.5,5.3
PR20220106762,2022-01-06,HF-HASH-BROWN-1KG,7.85,6.54,Ahmedabad Plant 2,Evening,OP122,-18.9,3.2
PR20220106825,2022-01-06,HF-FF-CRINKLE-2.5KG,3.33,2.59,Rajkot Plant,Morning,OP172,-18.8,6.0
PR20220106101,2022-01-06,HF-POTATO-SMILES-500G,2.01,1.56,Rajkot Plant,Evening,OP125,-18.4,4.9
PR20220106508,2022-01-06,HF-ALOO-TIKKI-1KG,4.11,3.33,Rajkot Plant,Evening,OP220,-18.3,3.6
PR20220106142,2022-01-06,HF-POTATO-CHEESE-BALLS-500G,2.62,2.15,Rajkot Plant,Morning,OP194,-18.2,5.2
PR20220106891,2022-01-06,HF-POTATO-CHEESE-BALLS-500G,5.4,4.56,Ahmedabad Plant 1,Evening,OP207,-18.8,3.5
PR20220106661,2022-01-06,HF-PATTY-ALOO-1KG,2.59,2.12,Ahmedabad Plant 2,Night,OP136,-19.0,3.9
PR20220107647,2022-01-07,HF-ALOO-TIKKI-1KG,6.44,5.53,Rajkot Plant,Night,OP203,-19.5,2.6
PR20220107263,2022-01-07,HF-HASH-BROWN-1KG,5.73,4.36,Rajkot Plant,Evening,OP103,-19.4,3.5
PR20220107640,2022-01-07,HF-PATTY-ALOO-1KG,2.79,2.41,Rajkot Plant,Evening,OP242,-19.2,3.4
PR20220107668,2022-01-07,HF-POTATO-CHEESE-BALLS-500G,2.18,1.79,Rajkot Plant,Night,OP130,-19.8,4.4
PR20220107583,2022-01-07,HF-POTATO-CHEESE-BALLS-500G,7.83,6.01,Rajkot Plant,Night,OP224,-19.1,5.2
PR20220107900,2022-01-07,HF-ALOO-TIKKI-1KG,5.15,3.92,Ahmedabad Plant 1,Evening,OP107,-19.2,4.4
PR20220107479,2022-01-07,HF-ALOO-TIKKI-1KG,6.37,5.41,Ahmedabad Plant 2,Morning,OP192,-19.5,4.7
PR20220107564,2022-01-07,HF-FF-CRINKLE-2.5KG,3.29,2.64,Rajkot Plant,Evening,OP196,-19.6,5.8
PR20220107123,2022-01-07,HF-ALOO-TIKKI-1KG,2.47,2.02,Ahmedabad Plant 1,Morning,OP105,-18.6,2.9
PR20220107189,2022-01-07,HF-FF-WEDGES-2.5KG,5.03,4.17,Ahmedabad Plant 2,Night,OP191,-18.0,5.1
PR20220107565,2022-01-07,HF-POTATO-CHEESE-BALLS-500G,6.92,6.06,Rajkot Plant,Night,OP147,-18.4,4.4
PR20220107489,2022-01-07,HF-FF-SHOESTRING-2.5KG,4.56,3.62,Ahmedabad Plant 2,Morning,OP241,-19.1,5.1
PR20220107975,2022-01-07,HF-FF-SHOESTRING-2.5KG,2.14,1.87,Rajkot Plant,Evening,OP135,-19.6,5.0
PR20220107174,2022-01-07,HF-POTATO-SMILES-500G,6.56,5.25,Ahmedabad Plant 2,Evening,OP230,-19.5,3.5
PR20220108220,2022-01-08,HF-POTATO-SMILES-500G,7.39,5.71,Ahmedabad Plant 2,Evening,OP174,-18.6,4.2
PR20220108823,2022-01-08,HF-FF-CRINKLE-2.5KG,3.92,3.16,Rajkot Plant,Night,OP135,-19.0,5.4
PR20220108599,2022-01-08,HF-PATTY-BURGER-1KG,5.14,4.1,Ahmedabad Plant 2,Night,OP147,-18.5,3.6
PR20220108902,2022-01-08,HF-FF-CRINKLE-2.5KG,5.09,4.31,Ahmedabad Plant 1,Night,OP241,-18.2,2.9
PR20220108248,2022-01-08,HF-PATTY-BURGER-1KG,4.28,3.41,Ahmedabad Plant 1,Night,OP203,-18.8,5.2
PR20220108241,2022-01-08,HF-HASH-BROWN-1KG,3.94,3.21,Ahmedabad Plant 2,Morning,OP141,-19.2,2.9
PR20220108244,2022-01-08,HF-ALOO-TIKKI-1KG,6.31,5.18,Ahmedabad Plant 2,Evening,OP231,-18.9,5.2
PR20220108701,2022-01-08,HF-FF-CRINKLE-2.5KG,3.46,2.99,Ahmedabad Plant 2,Morning,OP167,-19.1,4.4
PR20220108838,2022-01-08,HF-PATTY-CUTLET-1KG,7.25,6.21,Ahmedabad Plant 2,Morning,OP126,-19.2,5.0
PR20220108943,2022-01-08,HF-POTATO-CHEESE-BALLS-500G,4.6,3.78,Ahmedabad Plant 2,Night,OP175,-18.1,2.4
PR20220108481,2022-01-08,HF-POTATO-SMILES-500G,6.98,5.29,Ahmedabad Plant 1,Evening,OP211,-18.3,5.2
PR20220108898,2022-01-08,HF-POTATO-CHEESE-BALLS-500G,2.01,1.58,Ahmedabad Plant 1,Morning,OP247,-19.2,4.4
PR20220108244,2022-01-08,HF-FF-WEDGES-2.5KG,6.66,5.43,Ahmedabad Plant 2,Evening,OP100,-19.0,4.9
PR20220109851,2022-01-09,HF-FF-SHOESTRING-2.5KG,4.99,4.14,Ahmedabad Plant 1,Night,OP202,-19.8,3.6
PR20220109324,2022-01-09,HF-PATTY-CUTLET-1KG,4.31,3.23,Ahmedabad Plant 2,Evening,OP113,-19.2,2.1
PR20220109570,2022-01-09,HF-FF-WEDGES-2.5KG,5.02,4.29,Ahmedabad Plant 1,Morning,OP171,-19.1,3.1
PR20220109967,2022-01-09,HF-POTATO-SMILES-500G,6.72,5.28,Ahmedabad Plant 1,Night,OP141,-19.5,4.4
PR20220109673,2022-01-09,HF-ALOO-TIKKI-1KG,3.02,2.62,Ahmedabad Plant 2,Night,OP171,-18.4,6.0
PR20220109105,2022-01-09,HF-FF-SHOESTRING-2.5KG,2.04,1.6,Ahmedabad Plant 1,Evening,OP233,-18.4,2.1
PR20220109767,2022-01-09,HF-POTATO-CHEESE-BALLS-500G,6.39,5.37,Ahmedabad Plant 1,Morning,OP167,-19.6,3.0
PR20220109834,2022-01-09,HF-POTATO-SMILES-500G,4.67,3.9,Ahmedabad Plant 1,Morning,OP134,-18.9,4.8
PR20220110174,2022-01-10,HF-HASH-BROWN-1KG,5.8,4.44,Rajkot Plant,Evening,OP101,-19.6,4.9
PR20220110593,2022-01-10,HF-FF-CRINKLE-2.5KG,5.94,4.57,Ahmedabad Plant 1,Evening,OP243,-18.5,3.6
PR20220110756,2022-01-10,HF-FF-SHOESTRING-2.5KG,3.68,2.87,Ahmedabad Plant 1,Morning,OP247,-19.6,4.6
PR20220110480,2022-01-10,HF-FF-SHOESTRING-2.5KG,5.39,4.2,Rajkot Plant,Morning,OP218,-19.8,2.8
PR20220110926,2022-01-10,HF-FF-CRINKLE-2.5KG,6.77,5.93,Rajkot Plant,Morning,OP180,-19.5,6.0
PR20220110290,2022-01-10,HF-HASH-BROWN-1KG,5.91,4.6,Ahmedabad Plant 1,Night,OP111,-18.4,3.3
PR20220110861,2022-01-10,HF-PATTY-CUTLET-1KG,2.04,1.71,Ahmedabad Plant 1,Evening,OP113,-18.5,5.3
PR20220110940,2022-01-10,HF-ALOO-TIKKI-1KG,4.16,3.38,Ahmedabad Plant 1,Morning,OP111,-19.9,3.0
PR20220110133,2022-01-10,HF-POTATO-SMILES-500G,6.33,5.37,Ahmedabad Plant 1,Evening,OP180,-18.4,4.0
PR20220110796,2022-01-10,HF-FF-SHOESTRING-2.5KG,4.1,3.49,Ahmedabad Plant 1,Evening,OP165,-19.2,3.9
PR20220110817,2022-01-10,HF-FF-CRINKLE-2.5KG,6.68,5.21,Rajkot Plant,Night,OP179,-19.5,5.5
PR20220110675,2022-01-10,HF-PATTY-CUTLET-1KG,7.27,6.19,Rajkot Plant,Evening,OP158,-18.8,5.9
PR20220110930,2022-01-10,HF-FF-WEDGES-2.5KG,4.28,3.57,Rajkot Plant,Night,OP219,-18.3,5.9
PR20220110523,2022-01-10,HF-ALOO-TIKKI-1KG,6.22,5.27,Rajkot Plant,Night,OP154,-18.1,5.1
PR20220111452,2022-01-11,HF-FF-WEDGES-2.5KG,6.65,5.57,Rajkot Plant,Evening,OP171,-18.6,4.0
PR20220111583,2022-01-11,HF-FF-CRINKLE-2.5KG,2.66,2.16,Ahmedabad Plant 2,Night,OP122,-18.5,3.4
PR20220111739,2022-01-11,HF-POTATO-CHEESE-BALLS-500G,2.98,2.32,Ahmedabad Plant 1,Evening,OP151,-18.2,5.7
PR20220111924,2022-01-11,HF-PATTY-BURGER-1KG,5.18,4.15,Rajkot Plant,Morning,OP154,-19.1,4.5
PR20220111889,2022-01-11,HF-FF-CRINKLE-2.5KG,7.53,5.82,Ahmedabad Plant 1,Evening,OP185,-18.6,5.9
PR20220111146,2022-01-11,HF-FF-WEDGES-2.5KG,4.23,3.18,Ahmedabad Plant 2,Night,OP203,-18.3,2.1
PR20220111327,2022-01-11,HF-FF-WEDGES-2.5KG,7.94,6.24,Ahmedabad Plant 1,Evening,OP175,-19.8,6.0
PR20220111318,2022-01-11,HF-PATTY-CUTLET-1KG,5.6,4.22,Ahmedabad Plant 2,Evening,OP234,-18.2,3.9
PR20220111882,2022-01-11,HF-PATTY-ALOO-1KG,4.44,3.68,Ahmedabad Plant 2,Morning,OP207,-18.9,5.7
PR20220111642,2022-01-11,HF-FF-SHOESTRING-2.5KG,5.21,4.38,Ahmedabad Plant 2,Evening,OP239,-19.8,2.6
PR20220111545,2022-01-11,HF-FF-SHOESTRING-2.5KG,3.38,2.58,Rajkot Plant,Evening,OP214,-18.3,4.1
PR20220111298,2022-01-11,HF-ALOO-TIKKI-1KG,3.93,3.16,Rajkot Plant,Morning,OP164,-20.0,2.6
PR20220111406,2022-01-11,HF-POTATO-CHEESE-BALLS-500G,5.24,4.0,Rajkot Plant,Morning,OP240,-18.6,4.1
PR20220111410,2022-01-11,HF-FF-WEDGES-2.5KG,7.68,6.15,Ahmedabad Plant 2,Morning,OP197,-18.1,3.6
PR20220112515,2022-01-12,HF-FF-WEDGES-2.5KG,2.87,2.24,Rajkot Plant,Morning,OP184,-19.2,2.3
PR20220112442,2022-01-12,HF-FF-SHOESTRING-2.5KG,4.79,3.97,Ahmedabad Plant 2,Evening,OP170,-18.8,2.1
PR20220112821,2022-01-12,HF-FF-SHOESTRING-2.5KG,7.91,6.31,Ahmedabad Plant 2,Evening,OP214,-19.6,3.3
PR20220112734,2022-01-12,HF-PATTY-CUTLET-1KG,4.85,3.88,Ahmedabad Plant 2,Morning,OP193,-18.7,2.1
PR20220112506,2022-01-12,HF-FF-WEDGES-2.5KG,4.16,3.6,Ahmedabad Plant 1,Night,OP146,-19.4,2.6
PR20220112846,2022-01-12,HF-FF-SHOESTRING-2.5KG,5.55,4.81,Rajkot Plant,Morning,OP238,-19.4,2.6
PR20220112441,2022-01-12,HF-PATTY-CUTLET-1KG,7.21,5.69,Ahmedabad Plant 1,Morning,OP226,-18.9,4.1
PR20220112744,2022-01-12,HF-PATTY-BURGER-1KG,7.1,6.18,Rajkot Plant,Morning,OP126,-19.9,2.0
PR20220112339,2022-01-12,HF-FF-CRINKLE-2.5KG,7.53,5.7,Ahmedabad Plant 1,Morning,OP218,-18.5,4.1
PR20220112897,2022-01-12,HF-POTATO-CHEESE-BALLS-500G,4.88,4.04,Ahmedabad Plant 2,Morning,OP104,-19.0,5.7
PR20220112245,2022-01-12,HF-PATTY-CUTLET-1KG,3.44,2.7,Ahmedabad Plant 2,Night,OP213,-19.8,2.3
PR20220112798,2022-01-12,HF-HASH-BROWN-1KG,5.66,4.75,Ahmedabad Plant 1,Night,OP145,-19.0,4.8
PR20220113749,2022-01-13,HF-FF-SHOESTRING-2.5KG,3.04,2.62,Ahmedabad Plant 2,Night,OP194,-18.3,3.6
PR20220113339,2022-01-13,HF-PATTY-CUTLET-1KG,2.45,2.01,Ahmedabad Plant 2,Night,OP121,-19.3,5.8
PR20220113798,2022-01-13,HF-FF-WEDGES-2.5KG,6.44,5.28,Ahmedabad Plant 1,Morning,OP134,-19.9,3.9
PR20220113286,2022-01-13,HF-POTATO-SMILES-500G,5.37,4.44,Ahmedabad Plant 2,Night,OP191,-18.8,5.4
PR20220113992,2022-01-13,HF-FF-SHOESTRING-2.5KG,3.11,2.56,Ahmedabad Plant 1,Morning,OP206,-19.4,5.6
PR20220113877,2022-01-13,HF-FF-SHOESTRING-2.5KG,7.3,5.96,Ahmedabad Plant 1,Evening,OP128,-19.3,3.6
PR20220113445,2022-01-13,HF-PATTY-ALOO-1KG,4.81,4.17,Rajkot Plant,Morning,OP188,-19.9,5.6
PR20220113917,2022-01-13,HF-ALOO-TIKKI-1KG,2.83,2.44,Ahmedabad Plant 2,Evening,OP186,-19.9,3.4
PR20220113132,2022-01-13,HF-POTATO-SMILES-500G,5.11,4.35,Ahmedabad Plant 2,Morning,OP226,-19.1,6.0
PR20220113202,2022-01-13,HF-POTATO-SMILES-500G,4.73,3.99,Rajkot Plant,Morning,OP133,-19.6,4.0
PR20220114709,2022-01-14,HF-POTATO-CHEESE-BALLS-500G,7.14,5.86,Ahmedabad Plant 1,Evening,OP193,-18.8,2.4
PR20220114759,2022-01-14,HF-FF-SHOESTRING-2.5KG,4.36,3.69,Ahmedabad Plant 1,Night,OP116,-19.8,3.0
PR20220114149,2022-01-14,HF-FF-SHOESTRING-2.5KG,4.13,3.18,Ahmedabad Plant 2,Evening,OP155,-19.4,5.8
PR20220114411,2022-01-14,HF-FF-SHOESTRING-2.5KG,5.85,4.86,Ahmedabad Plant 1,Night,OP248,-19.1,2.4
PR20220114221,2022-01-14,HF-FF-SHOESTRING-2.5KG,6.38,5.28,Ahmedabad Plant 2,Evening,OP132,-19.3,5.6
PR20220114132,2022-01-14,HF-PATTY-ALOO-1KG,6.7,5.71,Ahmedabad Plant 2,Morning,OP229,-19.9,6.0
PR20220114726,2022-01-14,HF-PATTY-BURGER-1KG,5.49,4.2,Ahmedabad Plant 1,Morning,OP238,-18.9,5.2
PR20220114407,2022-01-14,HF-ALOO-TIKKI-1KG,2.17,1.64,Ahmedabad Plant 1,Morning,OP186,-18.1,4.9
PR20220114730,2022-01-14,HF-ALOO-TIKKI-1KG,5.01,4.0,Ahmedabad Plant 1,Night,OP191,-18.2,4.9
PR20220114454,2022-01-14,HF-PATTY-ALOO-1KG,3.93,3.08,Ahmedabad Plant 2,Night,OP245,-19.3,4.2
PR20220114448,2022-01-14,HF-FF-WEDGES-2.5KG,4.17,3.48,Ahmedabad Plant 1,Evening,OP199,-18.5,5.2
PR20220114172,2022-01-14,HF-FF-SHOESTRING-2.5KG,3.38,2.6,Ahmedabad Plant 1,Evening,OP224,-19.6,4.8
PR20220114683,2022-01-14,HF-ALOO-TIKKI-1KG,3.1,2.37,Ahmedabad Plant 1,Night,OP104,-19.7,5.1
PR20220114507,2022-01-14,HF-ALOO-TIKKI-1KG,3.96,3.31,Ahmedabad Plant 2,Night,OP115,-18.2,4.0
PR20220114175,2022-01-14,HF-POTATO-CHEESE-BALLS-500G,2.11,1.69,Ahmedabad Plant 2,Night,OP212,-18.1,3.9
PR20220115369,2022-01-15,HF-FF-SHOESTRING-2.5KG,4.53,3.66,Rajkot Plant,Morning,OP222,-18.1,3.4
PR20220115612,2022-01-15,HF-PATTY-BURGER-1KG,6.54,5.22,Rajkot Plant,Night,OP132,-19.4,3.5
PR20220115833,2022-01-15,HF-PATTY-ALOO-1KG,4.54,3.74,Rajkot Plant,Morning,OP245,-19.9,2.4
PR20220115968,2022-01-15,HF-PATTY-BURGER-1KG,2.2,1.82,Ahmedabad Plant 2,Night,OP195,-19.9,6.0
PR20220115982,2022-01-15,HF-PATTY-ALOO-1KG,4.9,3.97,Ahmedabad Plant 1,Morning,OP200,-19.3,4.2
PR20220115602,2022-01-15,HF-POTATO-SMILES-500G,5.8,5.01,Ahmedabad Plant 2,Morning,OP185,-19.5,4.0
PR20220115435,2022-01-15,HF-FF-SHOESTRING-2.5KG,4.77,3.97,Ahmedabad Plant 1,Morning,OP189,-18.9,3.8
PR20220115948,2022-01-15,HF-FF-SHOESTRING-2.5KG,2.1,1.62,Ahmedabad Plant 1,Evening,OP154,-19.0,5.3
PR20220115488,2022-01-15,HF-PATTY-CUTLET-1KG,3.67,3.0,Ahmedabad Plant 2,Morning,OP200,-18.7,2.4
PR20220115288,2022-01-15,HF-PATTY-BURGER-1KG,7.75,6.67,Ahmedabad Plant 1,Evening,OP237,-18.2,4.9
PR20220115360,2022-01-15,HF-FF-WEDGES-2.5KG,4.09,3.6,Rajkot Plant,Morning,OP147,-18.6,3.0
PR20220115777,2022-01-15,HF-ALOO-TIKKI-1KG,5.41,4.64,Rajkot Plant,Morning,OP156,-18.4,4.8
PR20220115908,2022-01-15,HF-PATTY-ALOO-1KG,2.37,2.06,Ahmedabad Plant 2,Evening,OP124,-18.2,5.7
PR20220115171,2022-01-15,HF-FF-SHOESTRING-2.5KG,4.94,3.99,Rajkot Plant,Morning,OP246,-19.9,6.0
PR20220115140,2022-01-15,HF-HASH-BROWN-1KG,5.9,4.52,Rajkot Plant,Morning,OP191,-19.0,4.1
PR20220116105,2022-01-16,HF-POTATO-CHEESE-BALLS-500G,5.09,4.19,Rajkot Plant,Evening,OP230,-18.0,4.8
PR20220116359,2022-01-16,HF-PATTY-ALOO-1KG,6.27,4.8,Ahmedabad Plant 1,Morning,OP129,-19.1,4.3
PR20220116190,2022-01-16,HF-HASH-BROWN-1KG,6.09,4.64,Ahmedabad Plant 2,Evening,OP156,-19.3,3.1
PR20220116913,2022-01-16,HF-FF-WEDGES-2.5KG,5.04,4.29,Rajkot Plant,Morning,OP172,-19.4,2.5
PR20220116794,2022-01-16,HF-PATTY-CUTLET-1KG,5.55,4.86,Ahmedabad Plant 2,Evening,OP244,-18.3,5.4
PR20220116669,2022-01-16,HF-POTATO-CHEESE-BALLS-500G,6.22,5.29,Ahmedabad Plant 2,Evening,OP244,-18.6,3.2
PR20220116981,2022-01-16,HF-FF-WEDGES-2.5KG,7.44,5.93,Ahmedabad Plant 1,Morning,OP208,-18.1,4.4
PR20220116419,2022-01-16,HF-FF-WEDGES-2.5KG,2.75,2.35,Ahmedabad Plant 2,Morning,OP159,-19.3,5.5
PR20220116963,2022-01-16,HF-PATTY-ALOO-1KG,6.71,5.13,Ahmedabad Plant 2,Night,OP145,-18.8,5.1
PR20220116916,2022-01-16,HF-FF-SHOESTRING-2.5KG,4.5,3.94,Rajkot Plant,Morning,OP217,-19.5,2.1
PR20220116478,2022-01-16,HF-PATTY-CUTLET-1KG,7.28,5.56,Rajkot Plant,Morning,OP119,-18.3,4.9
PR20220117573,2022-01-17,HF-POTATO-SMILES-500G,7.19,5.89,Ahmedabad Plant 1,Night,OP132,-18.6,3.4
PR20220117101,2022-01-17,HF-POTATO-SMILES-500G,4.06,3.22,Ahmedabad Plant 1,Morning,OP188,-18.5,4.4
PR20220117962,2022-01-17,HF-FF-WEDGES-2.5KG,7.4,5.85,Ahmedabad Plant 1,Night,OP240,-18.4,5.4
