date,revenue_source,product_category,revenue_inr,cogs_inr,gross_margin_inr
2022-01-12,B2C,French Fries,16980.72,9339.4,7641.32
2022-01-12,B2C,Patties,17713.12,9742.22,7970.9
2022-01-12,B2C,Specialty,5530.34,3041.69,2488.65
2022-01-13,B2B,French Fries,148746.75,92222.98,56523.76
2022-01-13,B2B,Patties,392764.71,243514.12,149250.59
2022-01-13,B2B,Specialty,622678.84,386060.88,236617.96
2022-01-13,B2C,French Fries,16737.91,9205.85,7532.06
2022-01-13,B2C,Patties,6261.63,3443.9,2817.73
2022-01-13,B2C,Specialty,5059.01,2782.46,2276.55
2022-01-14,B2B,French Fries,1011132.21,626901.97,384230.24
2022-01-14,B2B,Patties,1184543.0,734416.66,450126.34
2022-01-14,B2B,Specialty,759461.6,470866.19,288595.41
2022-01-14,B2C,French Fries,36790.74,20234.91,16555.83
2022-01-14,B2C,Patties,41221.55,22671.85,18549.7
2022-01-14,B2C,Specialty,21834.78,12009.13,9825.65
2022-01-15,B2B,French Fries,460887.39,285750.18,175137.21
2022-01-15,B2C,French Fries,42742.33,23508.28,19234.05
2022-01-15,B2C,Patties,29586.48,16272.56,13313.92
2022-01-15,B2C,Specialty,25316.58,13924.12,11392.46
2022-01-16,B2B,French Fries,427399.3,264987.57,162411.73
2022-01-16,B2C,French Fries,20537.32,11295.53,9241.79
2022-01-16,B2C,Patties,19580.33,10769.18,8811.15
2022-01-16,B2C,Specialty,12224.21,6723.32,5500.89
2022-01-17,B2B,Patties,513908.51,318623.28,195285.23
2022-01-17,B2C,French Fries,30521.81,16787.0,13734.81
2022-01-17,B2C,Patties,23151.58,12733.37,10418.21
2022-01-17,B2C,Specialty,13123.35,7217.84,5905.51
2022-01-18,B2B,French Fries,1291136.22,800504.46,490631.76
2022-01-18,B2B,Patties,186134.32,115403.28,70731.04
2022-01-18,B2B,Specialty,515859.58,319832.94,196026.64
2022-01-18,B2C,French Fries,24349.12,13392.02,10957.1
2022-01-18,B2C,Patties,18397.16,10118.44,8278.72
2022-01-18,B2C,Specialty,12328.45,6780.65,5547.8
2022-01-19,B2B,French Fries,1211731.65,751273.62,460458.03
2022-01-19,B2B,Patties,1120148.96,694492.36,425656.6
2022-01-19,B2B,Specialty,727194.27,450860.45,276333.82
2022-01-19,B2C,French Fries,31059.63,17082.8,13976.83
2022-01-19,B2C,Patties,25584.17,14071.29,11512.88
2022-01-19,B2C,Specialty,17946.0,9870.3,8075.7
2022-01-20,B2B,French Fries,267360.9,165763.76,101597.14
2022-01-20,B2B,Specialty,102267.95,63406.13,38861.82
2022-01-20,B2C,French Fries,26291.72,14460.45,11831.27
2022-01-20,B2C,Patties,27546.38,15150.51,12395.87
2022-01-20,B2C,Specialty,12328.51,6780.68,5547.83
2022-01-21,B2B,French Fries,639558.77,396526.44,243032.33
2022-01-21,B2B,Patties,151946.71,94206.96,57739.75
2022-01-21,B2C,French Fries,37224.69,20473.58,16751.11
2022-01-21,B2C,Patties,32923.43,18107.89,14815.54
2022-01-21,B2C,Specialty,22200.89,12210.49,9990.4
2022-01-22,B2B,French Fries,600303.12,372187.93,228115.19
2022-01-22,B2B,Patties,370507.56,229714.69,140792.87
2022-01-22,B2B,Specialty,1252805.33,776739.3,476066.03
2022-01-22,B2C,French Fries,23648.31,13006.57,10641.74
2022-01-22,B2C,Patties,25753.94,14164.67,11589.27
2022-01-22,B2C,Specialty,30406.83,16723.76,13683.07
2022-01-23,B2B,Patties,525862.44,326034.71,199827.73
2022-01-23,B2C,French Fries,26302.73,14466.5,11836.23
2022-01-23,B2C,Patties,36505.95,20078.27,16427.68
2022-01-23,B2C,Specialty,19420.76,10681.42,8739.34
2022-01-24,B2B,French Fries,575029.45,356518.26,218511.19
2022-01-24,B2B,Patties,373682.02,231682.85,141999.17
2022-01-24,B2B,Specialty,309251.55,191735.96,117515.59
2022-01-24,B2C,French Fries,42160.29,23188.16,18972.13
2022-01-24,B2C,Patties,37918.93,20855.41,17063.52
2022-01-24,B2C,Specialty,27712.05,15241.63,12470.42
2022-01-25,B2B,French Fries,523084.9,324312.64,198772.26
2022-01-25,B2B,Patties,300761.53,186472.15,114289.38
2022-01-25,B2B,Specialty,1200161.45,744100.1,456061.35
2022-01-25,B2C,French Fries,21438.74,11791.31,9647.43
2022-01-25,B2C,Patties,12439.26,6841.59,5597.67
2022-01-25,B2C,Specialty,10471.06,5759.08,4711.98
2022-01-26,B2B,French Fries,698753.68,433227.28,265526.4
2022-01-26,B2B,Patties,298960.9,185355.76,113605.14
2022-01-26,B2B,Specialty,392962.22,243636.58,149325.64
2022-01-26,B2C,French Fries,33070.62,18188.84,14881.78
2022-01-26,B2C,Patties,47669.88,26218.43,21451.45
2022-01-26,B2C,Specialty,34824.36,19153.4,15670.96
2022-01-27,B2B,French Fries,930272.1,576768.7,353503.4
2022-01-27,B2B,Specialty,571350.34,354237.21,217113.13
2022-01-27,B2C,French Fries,41494.33,22821.88,18672.45
2022-01-27,B2C,Patties,42148.98,23181.94,18967.04
2022-01-27,B2C,Specialty,27081.45,14894.8,12186.65
2022-01-28,B2B,French Fries,194034.76,120301.55,73733.21
2022-01-28,B2B,Specialty,631918.09,391789.22,240128.87
2022-01-28,B2C,French Fries,37238.41,20481.13,16757.28
2022-01-28,B2C,Patties,35504.46,19527.45,15977.01
2022-01-28,B2C,Specialty,24288.64,13358.75,10929.89
2022-01-29,B2B,French Fries,496124.65,307597.28,188527.37
2022-01-29,B2B,Patties,642973.26,398643.42,244329.84
2022-01-29,B2B,Specialty,1025517.77,635821.02,389696.75
2022-01-29,B2C,French Fries,25149.1,13832.0,11317.09
2022-01-29,B2C,Patties,14778.39,8128.11,6650.28
2022-01-29,B2C,Specialty,9717.36,5344.55,4372.81
2022-01-30,B2B,French Fries,441245.8,273572.4,167673.4
2022-01-30,B2B,Specialty,1034942.64,641664.44,393278.2
2022-01-30,B2C,French Fries,37143.83,20429.11,16714.72
2022-01-30,B2C,Patties,42936.34,23614.99,19321.35
2022-01-30,B2C,Specialty,22682.46,12475.35,10207.11
2022-01-31,B2B,Patties,990590.09,614165.86,376424.23
2022-01-31,B2B,Specialty,648645.04,402159.92,246485.12
2022-01-31,B2C,French Fries,25744.63,14159.55,11585.08
2022-01-31,B2C,Patties,26591.52,14625.34,11966.18
2022-01-31,B2C,Specialty,18945.79,10420.18,8525.61
2022-02-01,B2B,French Fries,154915.39,96047.54,58867.85
2022-02-01,B2B,Patties,489573.93,303535.84,186038.09
2022-02-01,B2B,Specialty,1495198.6,927023.13,568175.47
2022-02-01,B2C,French Fries,25206.71,13863.69,11343.02
2022-02-01,B2C,Patties,19791.67,10885.42,8906.25
2022-02-01,B2C,Specialty,16283.63,8956.0,7327.63
2022-02-02,B2B,Patties,649910.58,402944.56,246966.02
2022-02-02,B2B,Specialty,565484.28,350600.25,214884.03
2022-02-02,B2C,French Fries,29553.91,16254.65,13299.26
2022-02-02,B2C,Patties,37450.03,20597.52,16852.51
2022-02-02,B2C,Specialty,24480.21,13464.12,11016.09
2022-02-03,B2B,French Fries,251775.4,156100.75,95674.65
2022-02-03,B2B,Patties,224721.18,139327.13,85394.05
2022-02-03,B2C,French Fries,16012.58,8806.92,7205.66
2022-02-03,B2C,Patties,17135.33,9424.43,7710.9
2022-02-03,B2C,Specialty,6844.78,3764.63,3080.15
2022-02-04,B2B,French Fries,96676.7,59939.55,36737.15
2022-02-04,B2B,Patties,184599.64,114451.78,70147.86
2022-02-04,B2B,Specialty,83963.48,52057.36,31906.12
2022-02-04,B2C,French Fries,35700.56,19635.31,16065.25
2022-02-04,B2C,Patties,53109.62,29210.29,23899.33
2022-02-04,B2C,Specialty,28488.23,15668.53,12819.7
2022-02-05,B2B,French Fries,738950.8,458149.5,280801.3
2022-02-05,B2B,Specialty,75132.28,46582.01,28550.27
2022-02-05,B2C,French Fries,22246.01,12235.31,10010.7
2022-02-05,B2C,Patties,22705.31,12487.92,10217.39
2022-02-05,B2C,Specialty,10322.49,5677.37,4645.12
2022-02-06,B2B,Specialty,936184.66,580434.49,355750.17
2022-02-06,B2C,French Fries,40747.94,22411.37,18336.57
2022-02-06,B2C,Patties,28624.13,15743.27,12880.86
2022-02-06,B2C,Specialty,25642.87,14103.58,11539.29
2022-02-07,B2B,French Fries,123822.6,76770.01,47052.59
2022-02-07,B2C,French Fries,13604.76,7482.62,6122.14
2022-02-07,B2C,Patties,12032.25,6617.74,5414.51
2022-02-07,B2C,Specialty,7686.94,4227.82,3459.12
2022-02-08,B2B,Patties,564578.87,350038.9,214539.97
2022-02-08,B2B,Specialty,929621.5,576365.33,353256.17
2022-02-08,B2C,French Fries,16688.14,9178.48,7509.66
2022-02-08,B2C,Patties,26858.46,14772.15,12086.31
2022-02-08,B2C,Specialty,10544.48,5799.46,4745.02
2022-02-09,B2B,French Fries,558926.93,346534.7,212392.23
2022-02-09,B2B,Patties,177328.12,109943.43,67384.69
2022-02-09,B2C,French Fries,22984.85,12641.67,10343.18
2022-02-09,B2C,Patties,18987.28,10443.0,8544.28
2022-02-09,B2C,Specialty,14599.82,8029.9,6569.92
2022-02-10,B2B,French Fries,77006.92,47744.29,29262.63
2022-02-10,B2B,Patties,1092154.89,677136.03,415018.86
2022-02-10,B2C,French Fries,38874.63,21381.05,17493.58
2022-02-10,B2C,Patties,42898.81,23594.35,19304.46
2022-02-10,B2C,Specialty,21618.31,11890.07,9728.24
2022-02-11,B2B,Patties,239756.47,148649.01,91107.46
2022-02-11,B2B,Specialty,866790.11,537409.87,329380.24
2022-02-11,B2C,French Fries,25394.31,13966.87,11427.44
2022-02-11,B2C,Patties,32693.18,17981.25,14711.93
2022-02-11,B2C,Specialty,18852.53,10368.89,8483.64
2022-02-12,B2B,Specialty,442505.67,274353.52,168152.15
2022-02-12,B2C,French Fries,17900.3,9845.16,8055.13
2022-02-12,B2C,Patties,21763.34,11969.84,9793.5
2022-02-12,B2C,Specialty,15820.91,8701.5,7119.41
2022-02-13,B2B,Patties,805264.89,499264.23,306000.66
2022-02-13,B2C,French Fries,45033.79,24768.58,20265.21
2022-02-13,B2C,Patties,37149.67,20432.32,16717.35
2022-02-13,B2C,Specialty,27904.95,15347.72,12557.23
2022-02-14,B2B,French Fries,730207.7,452728.77,277478.93
2022-02-14,B2B,Patties,692686.89,429465.87,263221.02
2022-02-14,B2B,Specialty,1108781.08,687444.27,421336.81
2022-02-14,B2C,French Fries,15334.69,8434.08,6900.61
2022-02-14,B2C,Patties,15997.9,8798.85,7199.06
2022-02-14,B2C,Specialty,9278.6,5103.23,4175.37
2022-02-15,B2B,French Fries,105126.95,65178.71,39948.24
2022-02-15,B2B,Specialty,494125.91,306358.06,187767.85
2022-02-15,B2C,French Fries,39577.26,21767.49,17809.77
2022-02-15,B2C,Patties,50897.5,27993.63,22903.87
2022-02-15,B2C,Specialty,21832.31,12007.77,9824.54
2022-02-16,B2B,French Fries,328979.28,203967.15,125012.13
2022-02-16,B2B,Patties,797876.9,494683.68,303193.22
2022-02-16,B2B,Specialty,109538.43,67913.83,41624.6
2022-02-16,B2C,French Fries,32141.25,17677.69,14463.56
2022-02-16,B2C,Patties,34996.09,19247.85,15748.24
2022-02-16,B2C,Specialty,32491.24,17870.18,14621.06
2022-02-17,B2B,French Fries,427118.89,264813.71,162305.18
2022-02-17,B2B,Patties,1111576.25,689177.28,422398.98
2022-02-17,B2B,Specialty,480921.18,298171.13,182750.05
2022-02-17,B2C,French Fries,32300.42,17765.23,14535.19
2022-02-17,B2C,Patties,27310.17,15020.59,12289.58
2022-02-17,B2C,Specialty,19483.06,10715.68,8767.38
2022-02-18,B2B,French Fries,613312.23,380253.58,233058.65
2022-02-18,B2B,Specialty,312231.74,193583.68,118648.06
2022-02-18,B2C,French Fries,33810.99,18596.04,15214.95
2022-02-18,B2C,Patties,35388.7,19463.78,15924.91
2022-02-18,B2C,Specialty,25479.58,14013.77,11465.81
2022-02-19,B2B,French Fries,563169.2,349164.9,214004.3
2022-02-19,B2B,Patties,1794430.24,1112546.75,681883.49
2022-02-19,B2B,Specialty,272826.49,169152.42,103674.07
2022-02-19,B2C,French Fries,39704.62,21837.54,17867.08
2022-02-19,B2C,Patties,34317.45,18874.6,15442.85
2022-02-19,B2C,Specialty,23218.88,12770.38,10448.5
2022-02-20,B2B,Patties,564604.19,350054.6,214549.59
2022-02-20,B2B,Specialty,1093305.4,677849.35,415456.05
2022-02-20,B2C,French Fries,28081.62,15444.89,12636.73
2022-02-20,B2C,Patties,28498.48,15674.16,12824.32
2022-02-20,B2C,Specialty,21817.26,11999.49,9817.77
2022-02-21,B2B,Patties,788713.5,489002.37,299711.13
2022-02-21,B2B,Specialty,508239.95,315108.77,193131.18
2022-02-21,B2C,French Fries,11101.75,6105.96,4995.79
2022-02-21,B2C,Patties,13825.24,7603.88,6221.36
2022-02-21,B2C,Specialty,6854.53,3769.99,3084.54
2022-02-22,B2B,Patties,612166.23,379543.06,232623.17
2022-02-22,B2B,Specialty,399963.07,247977.1,151985.97
2022-02-22,B2C,French Fries,38320.67,21076.37,17244.3
2022-02-22,B2C,Patties,40557.32,22306.53,18250.79
2022-02-22,B2C,Specialty,25354.37,13944.9,11409.47
2022-02-23,B2B,Patties,626104.66,388184.89,237919.77
2022-02-23,B2B,Specialty,664180.53,411791.93,252388.6
2022-02-23,B2C,French Fries,33405.18,18372.85,15032.33
2022-02-23,B2C,Patties,35291.94,19410.57,15881.37
2022-02-23,B2C,Specialty,18636.17,10249.89,8386.28
2022-02-24,B2B,French Fries,756654.35,469125.7,287528.65
2022-02-24,B2B,Patties,172598.67,107011.18,65587.49
2022-02-24,B2B,Specialty,443673.17,275077.37,168595.8
2022-02-24,B2C,French Fries,31900.39,17545.21,14355.18
2022-02-24,B2C,Patties,25907.66,14249.21,11658.45
2022-02-24,B2C,Specialty,14013.99,7707.69,6306.3
2022-02-25,B2B,Patties,311664.69,193232.11,118432.58
2022-02-25,B2B,Specialty,1891290.86,1172600.33,718690.53
2022-02-25,B2C,French Fries,19596.61,10778.14,8818.47
2022-02-25,B2C,Patties,22424.45,12333.45,10091.0
2022-02-25,B2C,Specialty,15741.26,8657.69,7083.57
2022-02-26,B2B,Patties,592225.7,367179.93,225045.77
2022-02-26,B2C,French Fries,36559.66,20107.81,16451.85
2022-02-26,B2C,Patties,42797.09,23538.4,19258.69
2022-02-26,B2C,Specialty,20989.96,11544.48,9445.48
2022-02-27,B2B,French Fries,120197.42,74522.4,45675.02
2022-02-27,B2B,Patties,792057.18,491075.45,300981.73
2022-02-27,B2C,French Fries,35903.38,19746.86,16156.52
2022-02-27,B2C,Patties,36825.26,20253.89,16571.37
2022-02-27,B2C,Specialty,26645.96,14655.28,11990.68
2022-02-28,B2B,French Fries,535197.79,331822.63,203375.16
2022-02-28,B2B,Patties,130338.18,80809.67,49528.51
2022-02-28,B2C,French Fries,31239.02,17181.46,14057.56
2022-02-28,B2C,Patties,38846.18,21365.4,17480.78
2022-02-28,B2C,Specialty,21930.36,12061.7,9868.66
2022-03-01,B2B,Patties,299716.27,185824.09,113892.18
2022-03-01,B2B,Specialty,503487.59,312162.31,191325.28
2022-03-01,B2C,French Fries,29022.01,15962.11,13059.9
2022-03-01,B2C,Patties,29419.63,16180.8,13238.83
2022-03-01,B2C,Specialty,23309.77,12820.37,10489.4
2022-03-02,B2B,Patties,663687.56,411486.29,252201.27
2022-03-02,B2B,Specialty,1271320.82,788218.91,483101.91
2022-03-02,B2C,French Fries,27919.14,15355.53,12563.61
2022-03-02,B2C,Patties,35795.86,19687.72,16108.14
2022-03-02,B2C,Specialty,22475.29,12361.41,10113.88
2022-03-03,B2B,Patties,519118.08,321853.21,197264.87
2022-03-03,B2B,Specialty,481250.09,298375.06,182875.03
2022-03-03,B2C,French Fries,22881.91,12585.05,10296.86
2022-03-03,B2C,Patties,37220.57,20471.31,16749.26
2022-03-03,B2C,Specialty,16627.17,9144.94,7482.23
2022-03-04,B2B,French Fries,1523759.55,944730.92,579028.63
2022-03-04,B2B,Patties,589820.0,365688.4,224131.6
2022-03-04,B2B,Specialty,213337.03,132268.96,81068.07
2022-03-04,B2C,French Fries,42067.61,23137.19,18930.42
2022-03-04,B2C,Patties,34653.63,19059.5,15594.13
2022-03-04,B2C,Specialty,21458.9,11802.4,9656.5
2022-03-05,B2B,French Fries,1117018.78,692551.64,424467.14
2022-03-05,B2B,Patties,503997.9,312478.7,191519.2
2022-03-05,B2C,French Fries,26141.65,14377.91,11763.74
2022-03-05,B2C,Patties,31899.15,17544.53,14354.62
2022-03-05,B2C,Specialty,20011.24,11006.18,9005.06
2022-03-06,B2B,Specialty,527939.76,327322.65,200617.11
2022-03-06,B2C,French Fries,15228.97,8375.93,6853.04
2022-03-06,B2C,Patties,13396.54,7368.1,6028.44
2022-03-06,B2C,Specialty,7349.2,4042.06,3307.14
2022-03-07,B2B,French Fries,1021499.11,633329.45,388169.66
2022-03-07,B2B,Specialty,790334.59,490007.45,300327.14
2022-03-07,B2C,French Fries,27963.06,15379.68,12583.38
2022-03-07,B2C,Patties,17554.77,9655.12,7899.65
2022-03-07,B2C,Specialty,14053.22,7729.27,6323.95
2022-03-08,B2B,Patties,631282.65,391395.24,239887.41
2022-03-08,B2B,Specialty,615694.69,381730.71,233963.98
2022-03-08,B2C,French Fries,15152.72,8334.0,6818.72
2022-03-08,B2C,Patties,10358.34,5697.09,4661.25
2022-03-08,B2C,Specialty,13059.49,7182.72,5876.77
2022-03-09,B2B,French Fries,675789.52,418989.5,256800.02
2022-03-09,B2B,Patties,834104.36,517144.7,316959.66
2022-03-09,B2B,Specialty,1326762.87,822592.98,504169.89
2022-03-09,B2C,French Fries,33834.72,18609.1,15225.62
2022-03-09,B2C,Patties,32739.82,18006.9,14732.92
2022-03-09,B2C,Specialty,16055.46,8830.5,7224.96
2022-03-10,B2B,Patties,1111880.85,689366.13,422514.72
2022-03-10,B2B,Specialty,281241.83,174369.93,106871.9
2022-03-10,B2C,French Fries,17993.54,9896.45,8097.09
2022-03-10,B2C,Patties,18802.31,10341.27,8461.04
2022-03-10,B2C,Specialty,15489.8,8519.39,6970.41
2022-03-11,B2B,Patties,515362.94,319525.02,195837.92
2022-03-11,B2B,Specialty,494988.64,306892.96,188095.68
2022-03-11,B2C,French Fries,26136.28,14374.95,11761.33
2022-03-11,B2C,Patties,11690.31,6429.67,5260.64
2022-03-11,B2C,Specialty,14964.7,8230.59,6734.11
2022-03-12,B2B,French Fries,666355.03,413140.12,253214.91
2022-03-12,B2B,Specialty,158460.47,98245.49,60214.98
2022-03-12,B2C,French Fries,27474.41,15110.93,12363.48
2022-03-12,B2C,Patties,23659.77,13012.87,10646.9
2022-03-12,B2C,Specialty,20073.64,11040.5,9033.14
2022-03-13,B2B,Patties,853557.5,529205.65,324351.85
2022-03-13,B2C,French Fries,14061.62,7733.89,6327.73
2022-03-13,B2C,Patties,10509.41,5780.18,4729.23
2022-03-13,B2C,Specialty,14022.63,7712.45,6310.18
2022-03-14,B2B,Patties,596930.43,370096.87,226833.56
2022-03-14,B2B,Specialty,667335.69,413748.13,253587.56
2022-03-14,B2C,French Fries,26522.28,14587.25,11935.03
2022-03-14,B2C,Patties,16613.21,9137.27,7475.94
2022-03-14,B2C,Specialty,20214.5,11117.98,9096.52
2022-03-15,B2B,French Fries,529875.69,328522.93,201352.76
2022-03-15,B2B,Patties,185834.28,115217.25,70617.03
2022-03-15,B2B,Specialty,403185.37,249974.93,153210.44
2022-03-15,B2C,French Fries,46772.12,25724.67,21047.45
2022-03-15,B2C,Patties,30020.16,16511.09,13509.07
2022-03-15,B2C,Specialty,31948.27,17571.55,14376.72
2022-03-16,B2B,French Fries,512960.19,318035.32,194924.87
2022-03-16,B2B,Patties,689866.0,427716.92,262149.08
2022-03-16,B2B,Specialty,364722.86,226128.17,138594.69
2022-03-16,B2C,French Fries,31239.59,17181.77,14057.82
2022-03-16,B2C,Patties,33668.51,18517.68,15150.83
2022-03-16,B2C,Specialty,21629.09,11896.0,9733.09
2022-03-17,B2B,Specialty,1310991.46,812814.71,498176.75
2022-03-17,B2C,French Fries,31521.57,17336.86,14184.71
2022-03-17,B2C,Patties,43543.8,23949.09,19594.71
2022-03-17,B2C,Specialty,28741.29,15807.71,12933.58
2022-03-18,B2B,Patties,579200.67,359104.42,220096.25
2022-03-18,B2B,Specialty,990660.15,614209.29,376450.86
2022-03-18,B2C,French Fries,21638.45,11901.15,9737.3
2022-03-18,B2C,Patties,13869.38,7628.16,6241.22
2022-03-18,B2C,Specialty,11645.96,6405.28,5240.68
2022-03-19,B2B,Specialty,215009.33,133305.78,81703.55
2022-03-19,B2C,French Fries,34103.85,18757.12,15346.73
2022-03-19,B2C,Patties,23496.14,12922.88,10573.26
2022-03-19,B2C,Specialty,27235.01,14979.26,12255.75
2022-03-20,B2B,French Fries,313474.45,194354.16,119120.29
2022-03-20,B2B,Patties,638239.33,395708.38,242530.95
2022-03-20,B2B,Specialty,1459335.73,904788.15,554547.58
2022-03-20,B2C,French Fries,28581.28,15719.7,12861.58
2022-03-20,B2C,Patties,26908.25,14799.54,12108.71
2022-03-20,B2C,Specialty,19517.5,10734.62,8782.88
2022-03-21,B2B,French Fries,591140.68,366507.22,224633.46
2022-03-21,B2B,Specialty,434698.74,269513.22,165185.52
2022-03-21,B2C,French Fries,26586.06,14622.33,11963.73
2022-03-21,B2C,Patties,28835.42,15859.48,12975.94
2022-03-21,B2C,Specialty,11443.08,6293.69,5149.39
2022-03-22,B2B,French Fries,190789.3,118289.37,72499.93
2022-03-22,B2B,Specialty,167674.61,103958.26,63716.35
2022-03-22,B2C,French Fries,43693.98,24031.69,19662.29
2022-03-22,B2C,Patties,41973.11,23085.21,18887.9
2022-03-22,B2C,Specialty,31046.87,17075.78,13971.09
2022-03-23,B2B,French Fries,287516.89,178260.47,109256.42
2022-03-23,B2B,Patties,394573.07,244635.3,149937.77
2022-03-23,B2C,French Fries,21692.37,11930.8,9761.57
2022-03-23,B2C,Patties,33686.8,18527.74,15159.06
2022-03-23,B2C,Specialty,13293.01,7311.16,5981.85
2022-03-24,B2B,French Fries,786092.86,487377.57,298715.29
2022-03-24,B2B,Specialty,1134222.71,703218.08,431004.63
2022-03-24,B2C,French Fries,29988.04,16493.42,13494.62
2022-03-24,B2C,Patties,27227.0,14974.85,12252.15
2022-03-24,B2C,Specialty,20847.49,11466.12,9381.37
2022-03-25,B2B,Patties,587944.56,364525.63,223418.93
2022-03-25,B2B,Specialty,695257.22,431059.48,264197.74
2022-03-25,B2C,French Fries,33691.74,18530.46,15161.28
2022-03-25,B2C,Patties,29124.83,16018.66,13106.17
2022-03-25,B2C,Specialty,16837.51,9260.63,7576.88
2022-03-26,B2B,Specialty,509414.76,315837.15,193577.61
2022-03-26,B2C,French Fries,26767.52,14722.14,12045.38
2022-03-26,B2C,Patties,31463.44,17304.89,14158.55
2022-03-26,B2C,Specialty,27155.87,14935.73,12220.14
2022-03-27,B2B,French Fries,250199.47,155123.67,95075.8
2022-03-27,B2B,Patties,678169.8,420465.28,257704.52
2022-03-27,B2C,French Fries,16573.81,9115.6,7458.21
2022-03-27,B2C,Patties,18634.87,10249.18,8385.69
2022-03-27,B2C,Specialty,8114.96,4463.23,3651.73
2022-03-28,B2B,French Fries,1165871.76,722840.49,443031.27
2022-03-28,B2B,Patties,749193.85,464500.19,284693.66
2022-03-28,B2B,Specialty,669836.05,415298.35,254537.7
2022-03-28,B2C,French Fries,13906.9,7648.79,6258.1
2022-03-28,B2C,Patties,11179.04,6148.47,5030.57
2022-03-28,B2C,Specialty,10160.85,5588.47,4572.38
2022-03-29,B2B,Specialty,238598.75,147931.22,90667.52
2022-03-29,B2C,French Fries,36032.27,19817.75,16214.52
2022-03-29,B2C,Patties,24273.04,13350.17,10922.87
2022-03-29,B2C,Specialty,24474.82,13461.15,11013.67
2022-03-30,B2B,Patties,331681.83,205642.73,126039.1
2022-03-30,B2C,French Fries,29981.4,16489.77,13491.63
2022-03-30,B2C,Patties,27696.61,15233.14,12463.47
2022-03-30,B2C,Specialty,17489.97,9619.48,7870.49
2022-03-31,B2B,French Fries,291172.13,180526.72,110645.41
2022-03-31,B2B,Patties,1055878.0,654644.36,401233.64
2022-03-31,B2B,Specialty,240211.65,148931.22,91280.43
2022-03-31,B2C,French Fries,21783.79,11981.08,9802.71
2022-03-31,B2C,Patties,36716.86,20194.27,16522.59
2022-03-31,B2C,Specialty,22586.51,12422.58,10163.93
