batch_id,farmer_id,procurement_date,quantity_mt,variety,quality_grade,price_per_mt,moisture_content,defect_percentage
PB202512105632,F0009,2023-04-20,8.45,Kufri Chipsona,Grade A,25270.27,78.3,6.9
PB202512105334,F0009,2022-05-26,4.0,FL-1867,Grade B,23915.4,72.7,7.9
PB202512104683,F0009,2024-05-20,9.55,FL-1867,Premium,20315.41,78.5,7.5
PB202512102169,F0009,2023-06-29,3.44,FL-2027,Grade B,24543.56,81.0,1.2
PB202512105728,F0010,2023-09-22,7.58,Kufri Chipsona,Grade A,22378.79,81.1,7.8
PB202512105982,F0010,2022-09-12,9.55,Kufri Chipsona,Grade A,23793.71,80.3,6.9
PB202512109090,F0010,2023-07-12,4.55,Kufri Chipsona,Grade A,26631.32,70.4,5.2
PB202512108078,F0010,2022-06-14,3.84,3797,Grade A,20964.54,70.9,5.9
PB202512104750,F0010,2023-05-28,4.72,FL-2027,Premium,25798.13,70.8,3.2
PB202512103870,F0010,2023-07-06,6.32,Kufri Chipsona,Grade A,26325.79,73.8,5.4
PB202512103973,F0011,2024-06-24,9.09,Kufri Chipsona,Grade C,24926.91,72.8,1.2
PB202512108700,F0011,2024-10-04,26.75,3797,Grade C,15148.89,80.5,4.7
PB202512102713,F0011,2024-04-16,9.51,FL-1867,Grade A,26390.27,82.0,3.5
PB202512109117,F0011,2023-11-07,24.18,3797,Grade A,17813.52,75.8,5.4
PB202512101601,F0011,2024-03-31,26.84,Kufri Chipsona,Grade B,21888.58,79.2,3.9
PB202512106296,F0011,2022-06-30,5.37,FL-2027,Grade A,25900.66,72.9,1.8
PB202512101018,F0011,2024-04-07,4.84,Kufri Chipsona,Grade B,22297.91,73.6,2.6
PB202512109494,F0011,2024-04-26,2.34,3797,Premium,20142.99,81.9,4.0
PB202512101845,F0011,2024-10-17,14.61,FL-1867,Grade A,19757.53,72.6,7.6
PB202512105719,F0011,2023-07-01,8.29,Kufri Chipsona,Grade A,20715.29,75.0,7.2
PB202512104920,F0011,2024-09-19,9.56,FL-1867,Premium,23739.21,77.4,2.2
PB202512107684,F0011,2023-09-29,9.93,FL-2027,Grade A,21853.37,81.3,5.5
PB202512102924,F0012,2022-08-21,6.86,FL-1867,Grade A,24101.51,72.8,2.2
PB202512105781,F0012,2024-10-17,10.51,3797,Grade C,16305.07,79.4,3.5
PB202512108736,F0012,2024-04-30,2.46,FL-1867,Grade B,27752.82,80.6,7.5
PB202512107284,F0012,2024-07-24,9.96,FL-1867,Grade A,21391.16,74.8,6.3
PB202512103236,F0012,2024-11-06,22.4,FL-2027,Grade B,16077.27,79.8,2.6
PB202512107798,F0012,2023-07-20,3.79,3797,Grade B,24295.8,77.1,5.1
PB202512101042,F0012,2024-11-05,7.29,3797,Grade A,21142.23,73.2,1.9
PB202512108316,F0013,2024-09-29,9.11,Kufri Chipsona,Grade B,27645.21,80.3,6.7
PB202512109903,F0013,2023-12-08,21.38,Kufri Chipsona,Grade A,18856.0,71.0,3.9
PB202512104090,F0013,2024-07-21,4.98,FL-1867,Grade C,22078.03,78.7,4.5
PB202512107730,F0013,2024-02-24,7.03,FL-2027,Premium,16541.28,78.2,1.5
PB202512107246,F0013,2023-10-14,26.28,Kufri Chipsona,Grade B,18466.03,75.8,5.1
PB202512101606,F0013,2022-11-08,25.62,FL-1867,Grade A,17434.66,78.1,5.0
PB202512106439,F0013,2024-10-25,11.68,FL-2027,Grade C,21150.41,79.6,5.6
PB202512108486,F0013,2024-06-20,8.8,FL-2027,Premium,26938.35,78.5,6.9
PB202512103529,F0014,2024-04-19,7.58,FL-2027,Grade B,25441.13,77.4,6.3
PB202512105342,F0014,2024-08-19,3.27,3797,Grade B,27046.97,80.5,1.2
PB202512106383,F0014,2024-03-25,25.65,Kufri Chipsona,Grade A,15902.09,74.0,6.2
PB202512108994,F0014,2023-10-11,9.02,FL-2027,Grade A,20725.77,80.0,4.6
PB202512105708,F0014,2022-05-21,2.05,FL-1867,Premium,22296.31,77.4,7.9
PB202512102612,F0014,2022-07-05,7.05,FL-2027,Grade A,22078.43,77.6,4.8
PB202512101474,F0015,2022-12-07,24.5,FL-2027,Grade B,15748.86,79.1,4.8
PB202512105806,F0015,2023-10-27,29.07,3797,Grade B,17393.11,77.6,7.5
PB202512105000,F0015,2024-02-07,7.56,Kufri Chipsona,Grade A,21560.6,78.3,1.5
PB202512102293,F0015,2023-01-04,12.52,Kufri Chipsona,Premium,19957.2,70.8,5.1
PB202512103344,F0015,2023-05-09,4.77,FL-1867,Grade A,24967.32,70.5,7.1
PB202512108529,F0015,2024-08-02,9.79,3797,Grade A,27751.02,79.0,1.9
PB202512108622,F0015,2022-01-20,23.96,3797,Grade B,15172.11,70.3,3.3
PB202512106661,F0015,2022-11-20,17.22,3797,Premium,20392.85,78.2,4.1
PB202512108484,F0015,2024-05-18,4.19,3797,Grade B,27977.0,75.1,4.2
PB202512108916,F0015,2023-02-12,9.09,FL-2027,Grade C,20563.67,78.3,2.5
PB202512106881,F0015,2023-05-01,2.66,3797,Grade A,25443.99,77.9,2.9
PB202512107484,F0016,2022-02-14,28.77,3797,Grade C,16057.41,75.2,7.6
PB202512101803,F0016,2022-01-17,15.49,Kufri Chipsona,Grade A,19469.68,74.8,2.9
PB202512104770,F0016,2023-08-10,9.87,3797,Grade B,23274.67,80.7,2.6
PB202512105106,F0016,2023-03-25,10.33,FL-1867,Grade A,15217.94,77.8,3.6
PB202512101645,F0016,2022-07-18,8.91,3797,Grade C,23785.68,81.6,2.3
PB202512106977,F0016,2024-06-21,8.95,FL-1867,Premium,26212.77,79.3,6.9
PB202512106352,F0016,2022-07-04,8.09,Kufri Chipsona,Grade C,25009.76,71.6,1.2
PB202512109837,F0016,2022-12-26,28.02,3797,Premium,19316.55,79.6,4.4
PB202512103695,F0017,2024-10-24,7.93,3797,Grade C,15876.3,78.2,4.0
PB202512105835,F0017,2024-09-13,3.6,3797,Grade C,23932.76,70.8,5.1
PB202512102233,F0017,2022-08-24,4.15,FL-1867,Grade A,26380.47,73.7,4.2
PB202512107511,F0017,2023-04-08,2.09,3797,Grade B,20579.58,74.7,4.4
PB202512101228,F0017,2022-07-04,6.8,3797,Grade B,22333.3,78.3,7.0
PB202512105295,F0017,2022-09-11,8.24,Kufri Chipsona,Grade A,20316.95,75.8,1.7
PB202512104830,F0017,2024-01-31,11.05,Kufri Chipsona,Premium,21906.64,71.7,4.5
PB202512106374,F0017,2022-02-21,20.45,FL-1867,Grade A,19917.25,76.7,1.1
PB202512108606,F0017,2022-05-10,4.61,3797,Grade A,24141.69,71.1,3.5
PB202512101742,F0017,2024-04-16,2.27,FL-2027,Premium,20628.63,74.8,1.9
PB202512102902,F0017,2023-09-16,6.54,FL-2027,Grade C,25515.72,79.6,2.4
PB202512103222,F0017,2023-04-26,3.34,Kufri Chipsona,Grade B,20836.54,77.6,5.9
PB202512109850,F0018,2024-01-30,5.79,Kufri Chipsona,Grade B,21553.49,70.6,4.8
PB202512102622,F0018,2022-11-13,22.73,Kufri Chipsona,Grade B,21096.78,78.6,6.6
PB202512105583,F0018,2024-04-15,4.72,FL-2027,Grade C,26518.6,71.0,7.3
PB202512108285,F0018,2024-01-29,18.69,FL-1867,Premium,20721.08,75.4,5.5
PB202512107018,F0018,2024-01-13,18.16,3797,Premium,20121.13,71.0,1.4
PB202512104109,F0018,2022-05-05,3.98,FL-2027,Grade A,21276.36,80.5,2.5
PB202512104475,F0018,2024-07-20,9.81,FL-2027,Premium,22695.17,72.2,6.5
PB202512104990,F0018,2022-04-14,7.27,FL-1867,Grade B,23985.57,76.7,6.0
PB202512104394,F0018,2023-02-25,10.71,FL-1867,Premium,21974.34,81.7,5.6
PB202512103417,F0018,2023-04-23,3.6,FL-2027,Grade A,25441.83,70.9,1.2
PB202512103370,F0018,2023-07-22,4.06,FL-1867,Grade B,23700.98,80.4,6.1
PB202512102801,F0019,2023-05-29,7.94,FL-2027,Grade B,23403.95,74.2,3.6
PB202512104898,F0019,2022-09-27,9.9,3797,Premium,20320.87,80.4,5.1
PB202512101858,F0019,2022-02-02,15.97,FL-1867,Premium,20076.8,75.8,7.1
PB202512102041,F0019,2024-05-12,9.21,Kufri Chipsona,Grade A,23373.77,73.3,5.1
PB202512109408,F0019,2024-07-07,9.3,FL-2027,Grade B,21685.3,77.5,5.4
PB202512101710,F0019,2024-07-14,7.86,3797,Grade A,21052.54,78.6,7.4
PB202512101510,F0019,2024-07-27,3.44,FL-2027,Grade A,21900.35,81.7,2.3
PB202512107984,F0019,2024-09-07,8.84,FL-2027,Grade B,23938.22,73.0,7.1
PB202512108267,F0019,2024-10-01,16.13,FL-2027,Grade B,18603.72,74.3,5.2
PB202512103430,F0019,2022-06-15,3.31,FL-2027,Grade A,23128.65,81.6,2.8
PB202512109984,F0019,2022-09-16,7.25,3797,Grade A,22601.52,79.3,1.9
PB202512109692,F0019,2024-02-20,29.25,3797,Grade C,18176.53,72.8,1.5
PB202512102624,F0020,2024-11-01,9.24,FL-2027,Grade A,18638.42,74.0,6.8
PB202512104743,F0020,2023-03-17,15.77,Kufri Chipsona,Grade A,16741.0,77.4,5.9
PB202512107532,F0020,2023-11-26,9.18,Kufri Chipsona,Grade B,16173.33,70.4,6.2
PB202512106120,F0020,2022-07-14,7.31,3797,Grade A,23797.05,80.1,6.6
PB202512108770,F0020,2024-02-06,19.63,FL-2027,Grade C,21077.9,72.5,1.8
PB202512102527,F0020,2022-07-06,4.16,Kufri Chipsona,Grade B,20456.69,76.4,7.6
PB202512107105,F0020,2022-07-17,2.31,FL-1867,Grade B,20976.88,75.4,7.5
PB202512106400,F0020,2022-05-03,4.53,FL-2027,Grade A,24057.88,70.5,2.0
PB202512107929,F0020,2024-04-21,9.89,FL-2027,Grade A,27720.95,70.1,7.7
PB202512106761,F0020,2023-08-13,7.11,FL-2027,Grade A,26943.35,75.5,4.6
PB202512108900,F0020,2024-11-05,17.22,FL-1867,Premium,19668.05,71.7,1.2
PB202512107022,F0021,2023-12-19,12.7,FL-2027,Grade B,19932.77,72.4,5.7
PB202512108030,F0021,2023-07-25,9.76,FL-2027,Grade A,20751.21,78.1,4.1
PB202512105477,F0021,2023-07-02,8.95,3797,Premium,21417.2,78.3,6.9
PB202512103972,F0021,2023-11-27,28.62,FL-1867,Grade A,19782.74,76.0,5.3
PB202512101502,F0021,2024-03-31,26.72,FL-2027,Premium,18994.27,70.4,7.5
PB202512108432,F0022,2023-03-17,22.24,3797,Grade A,19735.59,72.6,5.6
PB202512106314,F0022,2022-11-19,14.85,FL-2027,Grade A,19558.63,71.3,5.6
PB202512101815,F0022,2022-04-18,10.0,FL-2027,Premium,20385.7,81.7,3.8
PB202512107947,F0022,2023-07-12,8.97,Kufri Chipsona,Grade A,26259.08,76.8,6.2
PB202512104531,F0022,2024-06-24,9.03,FL-2027,Grade A,23233.12,73.9,5.7
PB202512105640,F0022,2023-12-08,25.2,Kufri Chipsona,Grade A,20336.0,79.6,4.0
PB202512101744,F0022,2024-12-15,25.45,FL-1867,Grade B,15841.46,76.5,1.0
PB202512101897,F0022,2024-03-20,13.11,FL-2027,Grade C,17565.23,74.8,5.9
PB202512104460,F0022,2023-02-23,14.71,FL-1867,Grade A,18140.86,72.9,3.6
PB202512102965,F0022,2023-06-08,3.82,FL-2027,Grade A,20585.57,77.2,5.7
PB202512103878,F0022,2024-10-15,20.49,FL-1867,Grade B,18244.46,74.6,7.0
PB202512104770,F0022,2024-02-18,17.98,3797,Grade A,18354.27,70.3,3.4
PB202512101693,F0023,2024-03-24,14.5,Kufri Chipsona,Grade B,17791.76,77.0,4.7
PB202512102275,F0023,2022-02-08,20.2,3797,Grade A,20354.18,79.8,6.0
PB202512107843,F0023,2024-05-29,9.64,3797,Grade A,20145.86,72.3,1.1
PB202512106321,F0023,2022-08-24,7.18,FL-1867,Grade A,27184.24,72.9,7.5
PB202512106928,F0023,2024-07-31,2.48,FL-2027,Grade B,27475.49,74.2,1.7
PB202512107560,F0024,2022-08-05,5.89,FL-2027,Premium,22054.21,73.4,3.2
PB202512106562,F0024,2024-03-21,25.08,FL-1867,Grade B,18774.13,73.7,5.3
PB202512102251,F0024,2023-11-14,22.9,FL-2027,Grade B,16908.37,75.0,1.9
PB202512106724,F0024,2024-12-22,9.53,3797,Grade A,19767.82,72.2,4.7
PB202512103399,F0024,2022-10-30,22.73,3797,Premium,15748.14,76.8,2.8
PB202512103504,F0024,2023-02-09,29.07,FL-2027,Premium,18384.82,79.7,4.9
PB202512109095,F0024,2022-12-29,6.09,Kufri Chipsona,Grade C,19432.06,81.4,5.2
PB202512106295,F0024,2024-07-08,8.55,3797,Grade B,27073.65,72.7,2.5
PB202512108682,F0024,2022-11-06,20.27,Kufri Chipsona,Grade A,17877.2,80.1,7.3
PB202512101920,F0024,2023-09-13,4.83,3797,Grade B,21894.96,79.4,2.9
PB202512108404,F0025,2022-06-01,8.58,FL-2027,Grade A,23389.91,78.0,1.7
PB202512105703,F0025,2022-04-27,6.99,FL-2027,Grade A,23614.14,77.0,2.2
PB202512109307,F0025,2022-07-04,7.89,Kufri Chipsona,Grade A,26902.38,72.6,1.7
PB202512101672,F0025,2024-08-05,2.19,Kufri Chipsona,Grade A,25135.77,77.3,4.8
PB202512108792,F0025,2023-01-21,10.8,FL-1867,Grade A,17736.34,77.1,4.5
PB202512106626,F0025,2022-05-07,9.9,FL-2027,Grade A,21091.52,78.3,3.8
PB202512101641,F0025,2024-10-30,15.7,FL-1867,Grade A,20023.18,78.3,7.9
PB202512109586,F0025,2024-06-15,3.03,FL-1867,Grade C,20832.88,78.7,5.0
PB202512105634,F0025,2024-01-16,11.85,Kufri Chipsona,Grade A,15555.94,71.0,7.3
PB202512101857,F0025,2024-04-17,3.53,3797,Grade B,22586.97,72.7,3.5
PB202512107333,F0025,2022-05-15,2.56,3797,Grade A,24152.48,70.8,6.6
PB202512103463,F0025,2023-06-01,3.87,3797,Grade B,24320.1,80.6,5.6
PB202512106082,F0026,2022-10-17,18.32,Kufri Chipsona,Grade C,17270.34,74.0,5.7
PB202512102388,F0026,2022-09-22,9.95,3797,Grade A,25294.71,76.7,6.1
PB202512106381,F0026,2024-02-11,16.63,FL-1867,Grade A,15421.0,76.7,7.7
PB202512107937,F0026,2024-12-14,9.38,3797,Premium,19830.03,72.4,4.8
PB202512103953,F0026,2022-02-07,7.42,FL-1867,Grade A,18152.6,79.1,3.4
PB202512103253,F0027,2024-09-22,7.32,FL-1867,Premium,26363.6,81.1,2.6
PB202512102657,F0027,2022-06-08,5.19,FL-2027,Grade A,21219.33,81.9,7.5
PB202512103147,F0027,2023-11-21,18.5,Kufri Chipsona,Grade B,20894.23,76.3,5.4
PB202512103712,F0027,2022-11-12,7.23,Kufri Chipsona,Premium,20286.89,71.5,6.8
PB202512104891,F0027,2022-03-31,24.55,Kufri Chipsona,Grade A,19961.21,70.4,3.1
PB202512108355,F0027,2023-08-07,4.1,FL-1867,Grade B,22881.09,71.1,7.6
PB202512108684,F0027,2024-12-29,18.85,FL-1867,Premium,17138.67,74.8,4.1
PB202512108218,F0027,2024-01-24,20.01,Kufri Chipsona,Grade B,18609.76,81.0,4.5
PB202512109239,F0027,2023-08-01,9.94,Kufri Chipsona,Grade B,26811.4,72.5,7.5
PB202512103267,F0028,2023-02-13,7.91,3797,Grade B,20722.15,74.6,7.1
PB202512107081,F0028,2022-04-17,8.94,FL-2027,Grade A,26447.4,79.5,3.1
PB202512105670,F0028,2024-11-22,7.02,FL-2027,Grade B,17820.86,72.1,5.9
PB202512109410,F0028,2022-11-25,13.65,FL-1867,Grade A,21829.27,77.7,6.8
PB202512104637,F0028,2024-06-14,3.06,Kufri Chipsona,Premium,26896.12,81.1,4.4
PB202512107797,F0028,2023-12-17,20.16,FL-2027,Grade C,20353.67,72.1,4.5
PB202512107326,F0029,2024-10-25,14.97,FL-2027,Grade A,16024.62,74.4,1.5
PB202512106221,F0029,2024-02-07,5.65,FL-2027,Premium,15946.16,81.6,4.8
PB202512103254,F0029,2023-11-18,29.15,FL-2027,Grade B,18027.49,73.7,4.5
PB202512108740,F0029,2023-08-11,5.52,FL-1867,Grade C,20845.32,77.7,2.5
PB202512101086,F0029,2024-08-18,6.96,FL-2027,Grade A,25201.61,71.8,1.4
PB202512103449,F0029,2022-02-08,24.52,Kufri Chipsona,Grade A,18218.6,70.7,8.0
PB202512104893,F0029,2022-08-16,2.46,3797,Grade B,25560.28,81.8,2.7
PB202512107878,F0029,2022-09-07,3.14,Kufri Chipsona,Premium,20971.08,73.6,1.7
PB202512109189,F0029,2022-05-09,7.54,FL-2027,Premium,20498.33,76.1,8.0
PB202512103352,F0029,2024-11-21,25.35,3797,Grade A,19306.54,73.7,5.4
PB202512104941,F0030,2022-01-04,18.18,Kufri Chipsona,Grade A,17982.58,71.6,7.2
PB202512102402,F0030,2023-01-19,16.24,3797,Grade B,16362.36,74.4,3.9
PB202512109914,F0030,2022-05-19,8.62,FL-2027,Grade C,25868.92,79.2,1.1
PB202512101713,F0030,2024-03-10,15.4,Kufri Chipsona,Grade B,18369.41,70.2,2.8
PB202512101266,F0030,2024-02-04,24.01,3797,Grade A,15959.77,76.4,2.5
PB202512102698,F0030,2022-05-19,2.1,3797,Grade A,21929.61,81.7,6.6
PB202512109945,F0030,2022-10-01,28.99,3797,Premium,18414.98,71.3,4.8
PB202512108612,F0030,2022-12-25,16.36,Kufri Chipsona,Grade B,20910.5,71.2,4.4
PB202512102033,F0030,2023-01-09,8.75,Kufri Chipsona,Grade B,17272.73,78.8,4.3
PB202512101717,F0030,2022-03-17,14.4,FL-1867,Grade A,17761.33,75.5,6.5
PB202512109444,F0031,2023-10-09,27.3,Kufri Chipsona,Grade C,21687.34,79.4,3.2
PB202512104131,F0031,2024-08-27,7.51,3797,Grade A,23500.82,73.1,6.9
PB202512101783,F0031,2024-01-02,5.96,3797,Grade B,21312.33,75.5,5.5
PB202512107029,F0031,2023-07-14,7.27,Kufri Chipsona,Premium,27160.94,77.6,5.3
PB202512107334,F0032,2024-06-19,2.53,3797,Grade B,24147.26,71.8,6.2
PB202512109151,F0032,2023-01-18,17.81,3797,Grade A,19761.59,70.5,1.6
PB202512102353,F0032,2024-11-29,22.91,Kufri Chipsona,Grade A,15504.59,70.9,1.1
PB202512103956,F0032,2022-06-11,9.65,3797,Grade A,25900.07,74.2,3.1
PB202512106372,F0032,2023-10-20,13.74,3797,Premium,20422.57,77.9,2.3
PB202512107981,F0032,2023-09-20,3.39,FL-1867,Grade A,20787.17,77.9,6.4
PB202512101693,F0032,2024-06-28,4.12,3797,Grade A,20167.56,71.0,7.8
PB202512101939,F0032,2024-06-09,4.36,FL-2027,Grade A,26153.79,77.5,3.7
PB202512103621,F0032,2024-04-11,3.65,FL-2027,Grade A,20971.09,77.4,6.4
PB202512108179,F0032,2022-10-20,21.1,FL-2027,Grade B,18712.11,70.5,7.8
PB202512107001,F0033,2022-05-18,8.39,3797,Premium,22342.58,81.8,5.2
PB202512101530,F0033,2024-02-24,19.56,FL-1867,Grade C,20236.51,79.7,5.6
PB202512107095,F0033,2024-07-10,3.02,Kufri Chipsona,Grade C,22706.14,81.1,2.6
PB202512109674,F0033,2022-06-07,4.98,3797,Grade A,23456.62,75.3,5.3
PB202512105566,F0033,2024-03-26,28.58,FL-1867,Grade A,16684.85,71.5,2.4
PB202512104048,F0033,2022-08-21,9.1,Kufri Chipsona,Premium,25166.49,73.4,6.7
PB202512102929,F0034,2024-03-03,26.53,3797,Grade C,20925.6,81.0,2.8
PB202512104515,F0034,2023-06-18,8.04,3797,Grade B,23684.32,80.1,6.1
PB202512103223,F0034,2024-10-02,24.41,FL-2027,Premium,19593.13,72.1,4.8
PB202512108292,F0034,2024-07-14,9.88,FL-2027,Premium,27499.1,70.5,2.2
PB202512102063,F0034,2023-10-17,8.29,3797,Grade B,20081.86,79.8,2.5
PB202512103852,F0034,2023-09-07,6.05,3797,Grade B,26725.62,78.8,4.8
PB202512104292,F0034,2024-11-07,19.76,FL-1867,Premium,18558.52,73.6,5.0
PB202512101430,F0034,2023-04-30,7.51,3797,Grade B,26986.58,77.6,6.3
PB202512103126,F0034,2024-01-26,9.0,FL-2027,Grade A,18230.9,70.1,2.7
PB202512108842,F0034,2022-05-15,7.81,Kufri Chipsona,Grade A,27934.48,71.2,3.8
PB202512102208,F0034,2024-04-18,8.4,FL-1867,Grade B,21632.29,76.7,6.1
PB202512108372,F0034,2023-10-12,20.4,Kufri Chipsona,Grade A,16316.17,74.3,6.5
PB202512103981,F0035,2023-12-07,18.86,FL-1867,Premium,15036.61,79.1,1.2
PB202512101907,F0035,2024-06-05,7.97,FL-2027,Grade A,21619.84,81.5,3.6
PB202512103697,F0035,2024-11-27,13.17,FL-1867,Premium,16042.22,73.7,7.1
PB202512104694,F0035,2023-10-23,29.91,3797,Grade C,17578.17,75.4,6.1
PB202512102292,F0035,2024-11-28,27.15,3797,Grade B,19151.31,74.7,3.9
PB202512105496,F0035,2023-02-07,22.39,FL-1867,Grade A,15022.53,77.4,3.5
PB202512102530,F0035,2023-09-13,8.35,FL-1867,Grade A,20743.93,77.1,4.4
PB202512106531,F0035,2022-11-12,21.06,FL-2027,Premium,15453.98,77.0,4.9
