order_id,customer_id,order_date,product_sku,quantity_kg,unit_price_inr,total_value_inr,delivery_date,payment_status,invoice_number,payment_terms
ORD00000020,C00002,2022-08-25,HF-PATTY-BURGER-1KG,4008.99,149.3,598542.21,2022-08-30,Paid,INV196023,Net 90
ORD00000021,C00002,2022-09-01,HF-FF-CRINKLE-2.5KG,3249.06,156.77,509355.14,2022-09-11,Pending,INV970363,Net 90
ORD00000022,C00002,2024-10-30,HF-FF-WEDGES-2.5KG,2208.29,121.76,268881.39,2024-11-09,Paid,INV952084,Net 90
ORD00000023,C00002,2024-06-20,HF-HASH-BROWN-1KG,4041.09,148.11,598525.84,2024-07-03,Paid,INV729985,Net 90
ORD00000024,C00002,2023-04-25,HF-POTATO-SMILES-500G,1125.08,121.26,136427.2,2023-05-05,Paid,INV752186,Net 90
ORD00000025,C00002,2024-10-30,HF-HASH-BROWN-1KG,578.84,122.0,70618.48,2024-11-10,Paid,INV273987,Net 90
ORD00000026,C00002,2023-05-12,HF-FF-WEDGES-2.5KG,1197.61,133.89,160348.0,2023-05-16,Pending,INV693372,Net 90
ORD00000027,C00002,2023-01-22,HF-HASH-BROWN-1KG,1612.15,157.93,254606.85,2023-02-06,Paid,INV531964,Net 90
ORD00000028,C00002,2024-06-30,HF-FF-CRINKLE-2.5KG,1587.04,160.44,254624.7,2024-07-06,Paid,INV321409,Net 90
ORD00000029,C00002,2024-07-23,HF-FF-CRINKLE-2.5KG,4205.06,143.09,601702.04,2024-08-04,Paid,INV219309,Net 90
ORD00000030,C00002,2022-12-22,HF-POTATO-SMILES-500G,3732.59,126.25,471239.49,2023-01-06,Paid,INV898848,Net 90
ORD00000031,C00002,2022-08-01,HF-PATTY-BURGER-1KG,1975.66,160.96,318002.23,2022-08-04,Delayed,INV585715,Net 90
ORD00000032,C00002,2023-11-19,HF-HASH-BROWN-1KG,4693.03,156.93,736477.2,2023-11-27,Pending,INV194819,Net 90
ORD00000033,C00002,2023-03-13,HF-FF-CRINKLE-2.5KG,2137.26,138.82,296694.43,2023-03-21,Paid,INV341479,Net 90
ORD00000034,C00002,2022-10-03,HF-HASH-BROWN-1KG,2261.97,159.17,360037.76,2022-10-09,Pending,INV279378,Net 90
ORD00000035,C00002,2022-04-12,HF-POTATO-SMILES-500G,1971.46,148.2,292170.37,2022-04-25,Paid,INV935236,Net 90
ORD00000036,C00002,2022-11-05,HF-FF-SHOESTRING-2.5KG,3915.5,134.27,525734.19,2022-11-12,Paid,INV373806,Net 90
ORD00000037,C00002,2024-07-24,HF-PATTY-BURGER-1KG,3724.3,165.69,617079.27,2024-08-02,Pending,INV600790,Net 90
ORD00000038,C00002,2023-04-11,HF-FF-CRINKLE-2.5KG,4386.54,121.43,532657.55,2023-04-24,Pending,INV574562,Net 90
ORD00000039,C00002,2022-07-04,HF-PATTY-CUTLET-1KG,1011.93,177.29,179405.07,2022-07-09,Paid,INV777760,Net 90
ORD00000040,C00002,2024-12-07,HF-FF-CRINKLE-2.5KG,1066.02,149.27,159124.81,2024-12-11,Paid,INV687269,Net 90
ORD00000041,C00002,2024-11-09,HF-POTATO-SMILES-500G,1251.27,168.71,211101.76,2024-11-21,Pending,INV667097,Net 90
ORD00000042,C00002,2022-08-09,HF-HASH-BROWN-1KG,934.26,125.14,116913.3,2022-08-20,Paid,INV413596,Net 90
ORD00000043,C00003,2022-07-06,HF-POTATO-CHEESE-BALLS-500G,2771.16,134.29,372139.08,2022-07-12,Paid,INV279713,Net 60
ORD00000044,C00003,2022-07-15,HF-HASH-BROWN-1KG,3477.0,161.09,560109.93,2022-07-30,Paid,INV224543,Net 60
ORD00000045,C00003,2023-10-26,HF-FF-SHOESTRING-2.5KG,3137.22,170.08,533578.38,2023-11-09,Paid,INV929061,Net 60
ORD00000046,C00003,2022-11-16,HF-FF-CRINKLE-2.5KG,3638.08,131.25,477498.0,2022-11-29,Paid,INV177034,Net 60
ORD00000047,C00003,2023-02-14,HF-POTATO-CHEESE-BALLS-500G,852.83,164.87,140606.08,2023-02-27,Paid,INV394845,Net 60
ORD00000048,C00003,2023-06-10,HF-PATTY-ALOO-1KG,3830.1,171.02,655023.7,2023-06-15,Paid,INV924400,Net 60
ORD00000049,C00003,2024-04-21,HF-POTATO-SMILES-500G,1410.56,133.39,188154.6,2024-05-06,Paid,INV368753,Net 60
ORD00000050,C00003,2022-10-20,HF-PATTY-CUTLET-1KG,3095.02,129.34,400309.89,2022-11-04,Paid,INV620294,Net 60
ORD00000051,C00003,2022-04-17,HF-ALOO-TIKKI-1KG,1833.52,168.75,309406.5,2022-04-30,Paid,INV586240,Net 60
ORD00000052,C00003,2024-02-26,HF-POTATO-CHEESE-BALLS-500G,2003.95,120.68,241836.69,2024-02-29,Paid,INV664381,Net 60
ORD00000053,C00003,2022-02-24,HF-FF-CRINKLE-2.5KG,3428.72,130.84,448613.72,2022-02-28,Pending,INV123022,Net 60
ORD00000054,C00003,2024-07-03,HF-POTATO-SMILES-500G,1381.25,120.99,167117.44,2024-07-09,Pending,INV744089,Net 60
ORD00000055,C00004,2023-07-07,HF-FF-CRINKLE-2.5KG,3101.14,153.71,476676.23,2023-07-19,Paid,INV446649,Net 45
ORD00000056,C00004,2024-04-10,HF-POTATO-CHEESE-BALLS-500G,933.96,123.03,114905.1,2024-04-24,Paid,INV684488,Net 45
ORD00000057,C00004,2022-12-17,HF-POTATO-CHEESE-BALLS-500G,2708.76,166.88,452037.87,2023-01-01,Paid,INV660237,Net 45
ORD00000058,C00004,2024-08-02,HF-PATTY-CUTLET-1KG,4791.84,124.51,596632.0,2024-08-14,Paid,INV345769,Net 45
ORD00000059,C00004,2022-09-29,HF-PATTY-ALOO-1KG,3686.77,131.49,484773.39,2022-10-11,Paid,INV111150,Net 45
ORD00000060,C00004,2023-12-05,HF-POTATO-CHEESE-BALLS-500G,652.89,140.09,91463.36,2023-12-17,Paid,INV174764,Net 45
ORD00000061,C00004,2022-08-18,HF-ALOO-TIKKI-1KG,3082.47,156.08,481111.92,2022-08-25,Pending,INV863489,Net 45
ORD00000062,C00004,2023-01-09,HF-FF-WEDGES-2.5KG,721.41,175.67,126730.09,2023-01-16,Paid,INV749363,Net 45
ORD00000063,C00004,2024-11-28,HF-FF-CRINKLE-2.5KG,745.65,133.03,99193.82,2024-12-02,Delayed,INV757501,Net 45
ORD00000064,C00004,2023-07-10,HF-FF-CRINKLE-2.5KG,2446.27,176.74,432353.76,2023-07-17,Paid,INV977147,Net 45
ORD00000065,C00004,2024-11-16,HF-PATTY-BURGER-1KG,4960.55,120.02,595365.21,2024-11-30,Paid,INV101740,Net 45
ORD00000066,C00004,2024-05-17,HF-FF-SHOESTRING-2.5KG,1510.32,150.08,226668.83,2024-05-22,Paid,INV272127,Net 45
ORD00000067,C00004,2023-12-26,HF-POTATO-SMILES-500G,3624.78,159.4,577789.93,2023-12-30,Paid,INV382066,Net 45
ORD00000068,C00004,2024-02-17,HF-HASH-BROWN-1KG,1631.8,131.85,215152.83,2024-02-23,Paid,INV714753,Net 45
ORD00000069,C00004,2022-12-27,HF-PATTY-BURGER-1KG,564.23,170.57,96240.71,2023-01-03,Paid,INV526455,Net 45
ORD00000070,C00004,2024-10-19,HF-POTATO-CHEESE-BALLS-500G,2204.59,171.86,378880.84,2024-10-30,Partial,INV463203,Net 45
ORD00000071,C00004,2023-11-27,HF-POTATO-CHEESE-BALLS-500G,1956.68,165.36,323556.6,2023-12-03,Paid,INV419834,Net 45
ORD00000072,C00005,2022-11-30,HF-PATTY-ALOO-1KG,813.47,168.69,137224.25,2022-12-08,Paid,INV975052,Net 90
ORD00000073,C00005,2023-07-01,HF-POTATO-SMILES-500G,4509.56,135.89,612804.11,2023-07-05,Paid,INV194112,Net 90
ORD00000074,C00005,2022-01-24,HF-FF-WEDGES-2.5KG,1138.39,131.77,150005.65,2022-02-01,Paid,INV102695,Net 90
ORD00000075,C00005,2023-07-05,HF-ALOO-TIKKI-1KG,4405.03,137.17,604237.97,2023-07-11,Partial,INV604069,Net 90
ORD00000076,C00005,2022-12-15,HF-POTATO-CHEESE-BALLS-500G,1541.1,178.73,275440.8,2022-12-26,Paid,INV659919,Net 90
ORD00000077,C00005,2023-09-21,HF-POTATO-SMILES-500G,3515.05,169.93,597312.45,2023-09-29,Paid,INV593426,Net 90
ORD00000078,C00005,2023-07-02,HF-ALOO-TIKKI-1KG,3861.75,142.44,550067.67,2023-07-07,Pending,INV123848,Net 90
ORD00000079,C00005,2022-08-15,HF-PATTY-BURGER-1KG,4382.36,155.29,680536.68,2022-08-28,Delayed,INV674424,Net 90
ORD00000080,C00005,2022-07-19,HF-POTATO-SMILES-500G,3458.28,139.56,482637.56,2022-07-25,Paid,INV313515,Net 90
ORD00000081,C00005,2022-11-12,HF-FF-SHOESTRING-2.5KG,4915.24,171.28,841882.31,2022-11-24,Paid,INV780005,Net 90
ORD00000082,C00006,2022-10-15,HF-PATTY-ALOO-1KG,1166.51,132.23,154247.62,2022-10-19,Paid,INV906457,Net 30
ORD00000083,C00006,2024-10-12,HF-PATTY-ALOO-1KG,3868.63,121.55,470231.98,2024-10-15,Paid,INV737932,Net 30
ORD00000084,C00006,2024-10-23,HF-FF-CRINKLE-2.5KG,2009.53,151.95,305348.08,2024-11-07,Paid,INV622352,Net 30
ORD00000085,C00006,2023-04-07,HF-PATTY-ALOO-1KG,1422.1,172.39,245155.82,2023-04-14,Delayed,INV466343,Net 30
ORD00000086,C00006,2022-06-25,HF-FF-SHOESTRING-2.5KG,4501.71,177.41,798648.37,2022-07-06,Pending,INV410622,Net 30
ORD00000087,C00006,2023-07-11,HF-POTATO-SMILES-500G,1158.49,124.76,144533.21,2023-07-22,Pending,INV229971,Net 30
ORD00000088,C00006,2024-12-12,HF-HASH-BROWN-1KG,3002.43,167.55,503057.15,2024-12-27,Paid,INV989739,Net 30
ORD00000089,C00006,2022-12-02,HF-POTATO-CHEESE-BALLS-500G,1809.76,134.46,243340.33,2022-12-05,Paid,INV453766,Net 30
ORD00000090,C00006,2022-06-18,HF-ALOO-TIKKI-1KG,2829.74,148.92,421404.88,2022-07-01,Delayed,INV237298,Net 30
ORD00000091,C00006,2023-01-17,HF-POTATO-CHEESE-BALLS-500G,2657.98,144.32,383599.67,2023-01-26,Paid,INV645168,Net 30
ORD00000092,C00006,2023-06-22,HF-PATTY-BURGER-1KG,3771.76,156.88,591713.71,2023-07-03,Paid,INV455820,Net 30
ORD00000093,C00006,2024-02-16,HF-HASH-BROWN-1KG,2695.17,163.24,439959.55,2024-02-19,Paid,INV374150,Net 30
ORD00000094,C00006,2023-01-01,HF-PATTY-BURGER-1KG,1677.63,173.51,291085.58,2023-01-07,Paid,INV856151,Net 30
ORD00000095,C00006,2022-10-30,HF-PATTY-ALOO-1KG,2228.75,139.66,311267.22,2022-11-14,Paid,INV883519,Net 30
ORD00000096,C00006,2023-10-10,HF-HASH-BROWN-1KG,2940.24,136.22,400519.49,2023-10-21,Paid,INV537635,Net 30
ORD00000097,C00006,2023-08-10,HF-PATTY-ALOO-1KG,1709.33,124.67,213102.17,2023-08-17,Paid,INV178607,Net 30
ORD00000098,C00006,2024-11-12,HF-ALOO-TIKKI-1KG,3433.73,174.76,600078.65,2024-11-16,Paid,INV867523,Net 30
ORD00000099,C00006,2024-06-05,HF-POTATO-SMILES-500G,3583.69,154.06,552103.28,2024-06-14,Paid,INV812219,Net 30
ORD00000100,C00006,2024-05-08,HF-FF-CRINKLE-2.5KG,3703.05,177.99,659105.87,2024-05-15,Paid,INV593667,Net 30
ORD00000101,C00006,2024-09-30,HF-FF-WEDGES-2.5KG,2014.22,145.84,293753.84,2024-10-15,Paid,INV659447,Net 30
ORD00000102,C00007,2023-03-25,HF-PATTY-ALOO-1KG,1787.98,121.0,216345.58,2023-04-07,Paid,INV236762,Net 45
ORD00000103,C00007,2023-07-11,HF-HASH-BROWN-1KG,2063.42,124.3,256483.11,2023-07-14,Paid,INV822300,Net 45
ORD00000104,C00007,2023-12-18,HF-HASH-BROWN-1KG,4362.79,162.94,710873.0,2023-12-30,Pending,INV615191,Net 45
ORD00000105,C00007,2022-09-28,HF-HASH-BROWN-1KG,1868.14,139.68,260941.8,2022-10-08,Delayed,INV190070,Net 45
ORD00000106,C00007,2022-12-27,HF-ALOO-TIKKI-1KG,3063.21,167.88,514251.69,2023-01-01,Paid,INV375590,Net 45
ORD00000107,C00007,2022-12-29,HF-FF-SHOESTRING-2.5KG,3734.18,121.73,454561.73,2023-01-09,Paid,INV635032,Net 45
ORD00000108,C00007,2024-11-25,HF-POTATO-SMILES-500G,4033.83,172.88,697368.53,2024-12-01,Paid,INV646029,Net 45
ORD00000109,C00007,2023-11-25,HF-PATTY-CUTLET-1KG,904.5,166.2,150327.9,2023-12-02,Paid,INV121039,Net 45
ORD00000110,C00007,2022-11-17,HF-PATTY-ALOO-1KG,1632.78,130.42,212947.17,2022-11-22,Paid,INV768345,Net 45
ORD00000111,C00007,2024-02-14,HF-HASH-BROWN-1KG,2947.44,153.16,451429.91,2024-02-20,Delayed,INV416222,Net 45
ORD00000112,C00008,2023-08-19,HF-PATTY-BURGER-1KG,2618.95,174.11,455985.38,2023-09-03,Partial,INV707178,Net 90
ORD00000113,C00008,2022-12-07,HF-FF-SHOESTRING-2.5KG,1587.27,156.15,247852.21,2022-12-22,Paid,INV975079,Net 90
ORD00000114,C00008,2023-09-10,HF-PATTY-CUTLET-1KG,2344.4,172.43,404244.89,2023-09-16,Paid,INV692757,Net 90
ORD00000115,C00008,2022-11-25,HF-PATTY-CUTLET-1KG,1097.67,124.97,137175.82,2022-12-08,Paid,INV549488,Net 90
ORD00000116,C00008,2023-03-10,HF-FF-WEDGES-2.5KG,4967.42,154.63,768112.15,2023-03-22,Paid,INV549263,Net 90
ORD00000117,C00008,2023-01-16,HF-POTATO-CHEESE-BALLS-500G,4603.74,144.49,665194.39,2023-01-27,Paid,INV449042,Net 90
ORD00000118,C00008,2023-04-02,HF-ALOO-TIKKI-1KG,3219.33,161.65,520404.69,2023-04-09,Pending,INV996961,Net 90
ORD00000119,C00008,2024-11-13,HF-PATTY-BURGER-1KG,4937.51,126.76,625878.77,2024-11-28,Paid,INV304424,Net 90
ORD00000120,C00009,2022-10-28,HF-HASH-BROWN-1KG,1061.51,151.39,160702.0,2022-11-09,Paid,INV781091,Net 30
ORD00000121,C00009,2022-06-21,HF-HASH-BROWN-1KG,751.1,163.65,122917.52,2022-06-28,Paid,INV213013,Net 30
ORD00000122,C00009,2022-07-19,HF-FF-CRINKLE-2.5KG,4958.4,168.69,836432.5,2022-07-30,Pending,INV975544,Net 30
ORD00000123,C00009,2023-12-27,HF-POTATO-CHEESE-BALLS-500G,1696.14,167.97,284900.64,2024-01-05,Paid,INV217590,Net 30
ORD00000124,C00009,2023-11-02,HF-PATTY-ALOO-1KG,3325.44,127.17,422896.2,2023-11-15,Paid,INV784570,Net 30
ORD00000125,C00009,2023-05-30,HF-FF-CRINKLE-2.5KG,3046.66,173.81,529539.97,2023-06-12,Pending,INV418283,Net 30
ORD00000126,C00009,2023-05-09,HF-ALOO-TIKKI-1KG,1804.65,159.55,287931.91,2023-05-21,Partial,INV232909,Net 30
ORD00000127,C00009,2023-03-17,HF-HASH-BROWN-1KG,687.04,170.05,116831.15,2023-03-25,Paid,INV669047,Net 30
ORD00000128,C00009,2023-07-15,HF-PATTY-ALOO-1KG,1426.72,156.52,223310.21,2023-07-18,Pending,INV890115,Net 30
ORD00000129,C00009,2024-09-05,HF-PATTY-BURGER-1KG,2858.87,152.89,437092.63,2024-09-09,Paid,INV842715,Net 30
ORD00000130,C00009,2024-10-15,HF-FF-SHOESTRING-2.5KG,1641.82,153.55,252101.46,2024-10-27,Paid,INV939032,Net 30
ORD00000131,C00009,2023-06-18,HF-HASH-BROWN-1KG,3212.38,145.53,467497.66,2023-06-29,Paid,INV307509,Net 30
ORD00000132,C00009,2024-12-06,HF-POTATO-SMILES-500G,3349.64,131.49,440444.16,2024-12-17,Delayed,INV412955,Net 30
ORD00000133,C00009,2022-05-01,HF-FF-CRINKLE-2.5KG,2806.68,163.01,457516.91,2022-05-10,Paid,INV265829,Net 30
ORD00000134,C00009,2023-01-03,HF-POTATO-SMILES-500G,2155.98,144.67,311905.63,2023-01-07,Paid,INV976602,Net 30
ORD00000135,C00010,2024-06-04,HF-PATTY-CUTLET-1KG,1238.92,156.99,194498.05,2024-06-16,Partial,INV390228,Net 60
ORD00000136,C00010,2023-06-02,HF-POTATO-SMILES-500G,1055.84,150.05,158428.79,2023-06-16,Paid,INV298247,Net 60
ORD00000137,C00010,2024-06-30,HF-HASH-BROWN-1KG,1446.89,131.65,190483.07,2024-07-03,Paid,INV503291,Net 60
ORD00000138,C00010,2024-04-24,HF-HASH-BROWN-1KG,931.23,141.44,131713.17,2024-04-27,Paid,INV151034,Net 60
ORD00000139,C00010,2023-06-20,HF-PATTY-CUTLET-1KG,4403.35,156.29,688199.57,2023-06-24,Paid,INV469326,Net 60
ORD00000140,C00010,2022-02-21,HF-ALOO-TIKKI-1KG,4005.99,126.87,508239.95,2022-02-28,Delayed,INV597700,Net 60
ORD00000141,C00010,2022-08-09,HF-PATTY-BURGER-1KG,1909.91,143.32,273728.3,2022-08-17,Paid,INV869195,Net 60
ORD00000142,C00010,2022-05-12,HF-POTATO-CHEESE-BALLS-500G,4370.04,159.86,698594.59,2022-05-27,Pending,INV728805,Net 60
ORD00000143,C00010,2024-06-17,HF-PATTY-BURGER-1KG,2707.15,138.03,373667.91,2024-06-21,Paid,INV589638,Net 60
ORD00000144,C00010,2024-09-10,HF-FF-WEDGES-2.5KG,3919.77,173.3,679296.14,2024-09-22,Paid,INV499111,Net 60
ORD00000145,C00010,2022-06-09,HF-FF-CRINKLE-2.5KG,2915.66,122.61,357489.07,2022-06-15,Paid,INV187005,Net 60
ORD00000146,C00010,2022-04-16,HF-ALOO-TIKKI-1KG,1723.33,164.75,283918.62,2022-05-01,Pending,INV161581,Net 60
ORD00000147,C00010,2024-08-28,HF-HASH-BROWN-1KG,2244.21,157.56,353597.73,2024-09-05,Delayed,INV262218,Net 60
ORD00000148,C00010,2023-07-01,HF-POTATO-SMILES-500G,2860.35,174.46,499016.66,2023-07-06,Paid,INV271293,Net 60
ORD00000149,C00010,2023-08-20,HF-POTATO-CHEESE-BALLS-500G,1881.51,146.76,276130.41,2023-09-01,Paid,INV258151,Net 60
ORD00000150,C00010,2022-01-06,HF-PATTY-CUTLET-1KG,791.51,168.3,133211.13,2022-01-17,Paid,INV809386,Net 60
ORD00000151,C00010,2022-09-26,HF-ALOO-TIKKI-1KG,1966.2,163.32,321119.78,2022-10-06,Paid,INV534351,Net 60
ORD00000152,C00010,2023-10-06,HF-HASH-BROWN-1KG,513.64,172.05,88371.76,2023-10-19,Paid,INV262704,Net 60
ORD00000153,C00010,2022-12-30,HF-HASH-BROWN-1KG,4873.82,148.2,722300.12,2023-01-03,Paid,INV344968,Net 60
ORD00000154,C00010,2024-04-22,HF-FF-SHOESTRING-2.5KG,2671.72,156.98,419406.61,2024-04-28,Paid,INV615776,Net 60
ORD00000155,C00010,2024-10-24,HF-PATTY-BURGER-1KG,4888.0,153.51,750356.88,2024-11-01,Pending,INV206826,Net 60
ORD00000156,C00010,2023-05-17,HF-POTATO-CHEESE-BALLS-500G,832.35,153.91,128106.99,2023-05-28,Paid,INV319402,Net 60
ORD00000157,C00010,2022-03-31,HF-PATTY-ALOO-1KG,2385.71,165.65,395192.86,2022-04-08,Partial,INV308689,Net 60
ORD00000158,C00010,2023-04-19,HF-ALOO-TIKKI-1KG,1865.02,175.47,327255.06,2023-04-30,Paid,INV231370,Net 60
ORD00000159,C00010,2022-07-09,HF-PATTY-BURGER-1KG,4100.34,139.59,572366.46,2022-07-12,Paid,INV111955,Net 60
ORD00000160,C00010,2023-04-26,HF-PATTY-BURGER-1KG,2083.96,151.07,314823.84,2023-05-01,Paid,INV929046,Net 60
ORD00000161,C00011,2022-01-08,HF-PATTY-CUTLET-1KG,948.17,161.41,153044.12,2022-01-11,Paid,INV296322,Net 90
ORD00000162,C00011,2023-12-11,HF-HASH-BROWN-1KG,3241.16,139.12,450910.18,2023-12-25,Paid,INV123740,Net 90
ORD00000163,C00011,2024-08-19,HF-PATTY-ALOO-1KG,3371.21,125.89,424401.63,2024-08-25,Paid,INV825953,Net 90
ORD00000164,C00011,2022-05-15,HF-POTATO-SMILES-500G,4784.23,124.02,593340.2,2022-05-30,Partial,INV129399,Net 90
ORD00000165,C00011,2024-04-22,HF-PATTY-CUTLET-1KG,1979.78,178.23,352856.19,2024-05-07,Paid,INV458909,Net 90
ORD00000166,C00011,2024-05-05,HF-HASH-BROWN-1KG,2292.6,173.14,396940.76,2024-05-09,Delayed,INV326837,Net 90
ORD00000167,C00011,2022-10-07,HF-POTATO-SMILES-500G,1179.05,124.0,146202.2,2022-10-12,Delayed,INV202267,Net 90
ORD00000168,C00011,2023-10-29,HF-POTATO-CHEESE-BALLS-500G,986.78,178.32,175962.61,2023-11-05,Paid,INV166057,Net 90
ORD00000169,C00011,2023-01-29,HF-FF-SHOESTRING-2.5KG,899.5,159.1,143110.45,2023-02-12,Paid,INV341964,Net 90
ORD00000170,C00011,2023-05-18,HF-ALOO-TIKKI-1KG,2482.7,171.65,426155.45,2023-05-23,Paid,INV696837,Net 90
ORD00000171,C00011,2022-11-09,HF-POTATO-SMILES-500G,1824.41,121.73,222085.43,2022-11-22,Paid,INV640122,Net 90
ORD00000172,C00011,2022-08-23,HF-FF-CRINKLE-2.5KG,3868.7,155.33,600925.17,2022-09-04,Paid,INV428528,Net 90
ORD00000173,C00011,2022-08-01,HF-FF-WEDGES-2.5KG,2455.26,139.38,342214.14,2022-08-13,Delayed,INV155031,Net 90
ORD00000174,C00011,2022-07-16,HF-FF-CRINKLE-2.5KG,4547.47,127.31,578938.41,2022-07-26,Paid,INV563500,Net 90
ORD00000175,C00011,2023-10-31,HF-POTATO-SMILES-500G,1136.1,120.89,137343.13,2023-11-04,Paid,INV739231,Net 90
ORD00000176,C00011,2022-12-22,HF-FF-WEDGES-2.5KG,826.54,171.44,141702.02,2023-01-01,Paid,INV827716,Net 90
ORD00000177,C00011,2023-03-23,HF-FF-SHOESTRING-2.5KG,4071.42,126.15,513609.63,2023-03-27,Paid,INV435214,Net 90
ORD00000178,C00011,2023-10-29,HF-FF-SHOESTRING-2.5KG,4009.17,158.46,635293.08,2023-11-12,Paid,INV956313,Net 90
ORD00000179,C00011,2023-08-12,HF-FF-SHOESTRING-2.5KG,2243.68,125.05,280572.18,2023-08-24,Partial,INV626020,Net 90
ORD00000180,C00011,2022-01-04,HF-ALOO-TIKKI-1KG,3210.58,170.38,547018.62,2022-01-16,Paid,INV562809,Net 90
ORD00000181,C00011,2023-02-17,HF-FF-WEDGES-2.5KG,2393.19,145.46,348113.42,2023-02-26,Paid,INV204077,Net 90
ORD00000182,C00011,2024-09-06,HF-ALOO-TIKKI-1KG,4220.07,132.64,559750.08,2024-09-10,Paid,INV838396,Net 90
ORD00000183,C00011,2023-11-18,HF-FF-CRINKLE-2.5KG,1276.11,161.73,206385.27,2023-12-03,Paid,INV512207,Net 90
ORD00000184,C00011,2023-09-21,HF-HASH-BROWN-1KG,3454.09,174.73,603533.15,2023-09-24,Paid,INV809625,Net 90
ORD00000185,C00012,2023-02-27,HF-POTATO-SMILES-500G,2004.14,132.12,264786.98,2023-03-08,Paid,INV811052,Net 45
ORD00000186,C00012,2024-07-30,HF-POTATO-SMILES-500G,2429.73,143.03,347524.28,2024-08-04,Paid,INV325707,Net 45
ORD00000187,C00012,2023-12-30,HF-FF-CRINKLE-2.5KG,4721.43,175.06,826533.54,2024-01-03,Paid,INV788272,Net 45
ORD00000188,C00012,2022-09-13,HF-FF-SHOESTRING-2.5KG,2426.67,144.75,351260.48,2022-09-25,Pending,INV262067,Net 45
ORD00000189,C00012,2023-07-17,HF-FF-SHOESTRING-2.5KG,2502.47,163.85,410029.71,2023-07-24,Pending,INV389668,Net 45
ORD00000190,C00012,2023-04-30,HF-POTATO-SMILES-500G,2975.27,137.28,408445.07,2023-05-13,Paid,INV200109,Net 45
ORD00000191,C00012,2024-10-08,HF-POTATO-CHEESE-BALLS-500G,3959.28,174.23,689825.35,2024-10-21,Paid,INV292229,Net 45
ORD00000192,C00012,2024-06-28,HF-FF-SHOESTRING-2.5KG,3729.91,131.68,491154.55,2024-07-11,Paid,INV617848,Net 45
ORD00000193,C00012,2022-10-18,HF-FF-CRINKLE-2.5KG,4062.98,179.34,728654.83,2022-10-31,Paid,INV183620,Net 45
ORD00000194,C00012,2023-07-08,HF-PATTY-ALOO-1KG,3583.2,134.63,482406.22,2023-07-20,Paid,INV126131,Net 45
ORD00000195,C00012,2022-02-05,HF-HASH-BROWN-1KG,524.96,143.12,75132.28,2022-02-19,Pending,INV100729,Net 45
