wastage_id,batch_id,wastage_date,wastage_type,quantity_kg,recovery_possible,cost_impact_inr
WS000381,PR20220203702,2022-02-03,Quality Rejection,90.02,No,8244.66
WS000382,PR20220203731,2022-02-03,Spillage,279.64,No,27245.97
WS000401,PR20220204689,2022-02-04,Spillage,182.23,No,24896.44
WS000403,PR20220205108,2022-02-05,Quality Rejection,180.36,No,26596.89
WS000407,PR20220205479,2022-02-05,Quality Rejection,168.89,Yes,20230.68
WS000410,PR20220205968,2022-02-05,Expired Stock,143.92,No,18057.79
WS000411,PR20220205840,2022-02-05,Quality Rejection,219.96,Yes,31793.81
WS000418,PR20220206665,2022-02-06,Spillage,207.51,No,26258.08
WS000423,PR20220207417,2022-02-07,Expired Stock,505.44,No,71623.78
WS000425,PR20220207408,2022-02-07,Spillage,244.32,Yes,31717.11
WS000427,PR20220207900,2022-02-07,Quality Rejection,176.01,No,23666.55
WS000429,PR20220207682,2022-02-07,Quality Rejection,437.66,Yes,47592.17
WS000446,PR20220209384,2022-02-09,Spillage,161.37,Yes,17204.3
WS000459,PR20220210744,2022-02-10,Quality Rejection,78.74,Yes,9814.66
WS000475,PR20220211355,2022-02-11,Expired Stock,254.94,Yes,32275.62
WS000477,PR20220211247,2022-02-11,Spillage,334.2,No,49912.53
WS000485,PR20220212884,2022-02-12,Expired Stock,164.7,Yes,17163.09
WS000486,PR20220212726,2022-02-12,Processing Waste,229.88,Yes,26781.0
WS000494,PR20220213128,2022-02-13,Processing Waste,399.87,Yes,57124.17
WS000498,PR20220213511,2022-02-13,Quality Rejection,380.12,Yes,30436.79
WS000503,PR20220213761,2022-02-13,Processing Waste,84.13,Yes,10424.16
WS000504,PR20220213309,2022-02-13,Quality Rejection,188.04,No,23683.84
WS000517,PR20220215753,2022-02-15,Quality Rejection,384.44,Yes,47528.27
WS000543,PR20220217746,2022-02-17,Spillage,324.1,Yes,41735.23
WS000549,PR20220218572,2022-02-18,Processing Waste,345.38,No,44459.46
WS000551,PR20220218515,2022-02-18,Quality Rejection,186.91,Yes,27346.36
WS000557,PR20220218615,2022-02-18,Quality Rejection,60.35,Yes,8657.17
WS000570,PR20220219687,2022-02-19,Processing Waste,101.35,No,12107.66
WS000577,PR20220220649,2022-02-20,Expired Stock,278.54,Yes,34373.25
WS000580,PR20220221925,2022-02-21,Expired Stock,105.87,No,12169.32
WS000612,PR20220223801,2022-02-23,Quality Rejection,295.7,No,32185.94
WS000615,PR20220223106,2022-02-23,Quality Rejection,483.1,Yes,65504.89
WS000620,PR20220224260,2022-02-24,Expired Stock,528.26,No,51988.79
WS000626,PR20220224600,2022-02-24,Quality Rejection,369.69,Yes,38249.87
WS000635,PR20220225336,2022-02-25,Expired Stock,116.7,No,9492.21
WS000638,PR20220225345,2022-02-25,Quality Rejection,139.24,Yes,20632.94
WS000640,PR20220225279,2022-02-25,Processing Waste,150.15,No,13833.73
WS000648,PR20220226990,2022-02-26,Processing Waste,400.39,Yes,51593.89
WS000650,PR20220226702,2022-02-26,Processing Waste,362.66,No,41754.75
WS000656,PR20220226591,2022-02-26,Quality Rejection,460.5,Yes,42221.42
WS000657,PR20220226339,2022-02-26,Quality Rejection,341.34,No,45233.79
WS000663,PR20220227456,2022-02-27,Processing Waste,137.36,No,19702.86
WS000667,PR20220227939,2022-02-27,Spillage,118.22,No,10551.43
WS000687,PR20220301414,2022-03-01,Quality Rejection,111.62,No,12660.06
WS000706,PR20220302597,2022-03-02,Spillage,196.92,Yes,19289.48
WS000710,PR20220303170,2022-03-03,Processing Waste,179.53,Yes,17506.38
WS000719,PR20220304641,2022-03-04,Expired Stock,140.64,Yes,17376.81
WS000725,PR20220304883,2022-03-04,Spillage,553.5,No,52136.5
WS000731,PR20220305878,2022-03-05,Quality Rejection,226.45,No,26348.48
WS000732,PR20220305310,2022-03-05,Quality Rejection,138.61,Yes,13942.25
WS000734,PR20220305514,2022-03-05,Processing Waste,194.55,Yes,27017.75
WS000754,PR20220307948,2022-03-07,Quality Rejection,221.82,Yes,18149.69
WS000761,PR20220307684,2022-03-07,Quality Rejection,164.0,No,19659.79
WS000785,PR20220310376,2022-03-10,Quality Rejection,199.74,Yes,25324.29
WS000787,PR20220310234,2022-03-10,Spillage,211.11,Yes,23779.44
WS000791,PR20220310590,2022-03-10,Expired Stock,180.84,No,26158.49
WS000792,PR20220310229,2022-03-10,Processing Waste,132.42,Yes,14211.07
WS000794,PR20220310567,2022-03-10,Processing Waste,478.42,Yes,68546.71
WS000797,PR20220311233,2022-03-11,Processing Waste,266.65,No,34151.05
WS000800,PR20220311953,2022-03-11,Quality Rejection,146.99,No,14924.84
WS000802,PR20220311559,2022-03-11,Quality Rejection,279.53,Yes,38928.78
WS000810,PR20220312345,2022-03-12,Spillage,267.02,Yes,29941.68
WS000815,PR20220312940,2022-03-12,Expired Stock,397.83,No,54447.21
WS000817,PR20220312891,2022-03-12,Quality Rejection,322.82,Yes,34200.11
WS000824,PR20220312635,2022-03-12,Expired Stock,258.95,Yes,21001.65
WS000831,PR20220313390,2022-03-13,Quality Rejection,177.16,Yes,25427.2
WS000846,PR20220314393,2022-03-14,Quality Rejection,420.78,Yes,54398.19
WS000847,PR20220314575,2022-03-14,Spillage,155.11,No,18728.59
WS000851,PR20220315305,2022-03-15,Expired Stock,448.81,No,42550.94
WS000866,PR20220316967,2022-03-16,Expired Stock,196.7,Yes,21086.94
WS000875,PR20220317414,2022-03-17,Spillage,287.87,No,35665.22
WS000879,PR20220317267,2022-03-17,Quality Rejection,160.49,Yes,18520.27
WS000891,PR20220318418,2022-03-18,Spillage,279.86,No,35014.3
WS000895,PR20220318202,2022-03-18,Expired Stock,131.45,No,15605.58
WS000897,PR20220319708,2022-03-19,Expired Stock,304.24,No,39096.92
WS000902,PR20220319146,2022-03-19,Quality Rejection,458.87,No,67422.34
WS000908,PR20220320445,2022-03-20,Processing Waste,571.41,Yes,83239.79
WS000921,PR20220321115,2022-03-21,Expired Stock,120.27,Yes,14916.51
WS000936,PR20220322325,2022-03-22,Quality Rejection,217.86,Yes,29766.14
WS000937,PR20220322856,2022-03-22,Quality Rejection,573.86,Yes,47827.68
WS000948,PR20220323559,2022-03-23,Quality Rejection,304.4,Yes,42482.6
WS000956,PR20220324204,2022-03-24,Processing Waste,399.28,No,43836.07
WS000963,PR20220325822,2022-03-25,Processing Waste,117.12,Yes,15356.66
WS000966,PR20220325251,2022-03-25,Quality Rejection,144.92,Yes,17659.08
WS000968,PR20220325538,2022-03-25,Spillage,267.15,Yes,29209.57
WS000980,PR20220326710,2022-03-26,Quality Rejection,260.35,No,35404.15
WS000982,PR20220327561,2022-03-27,Quality Rejection,140.38,No,20221.15
WS000983,PR20220327709,2022-03-27,Expired Stock,142.16,No,14185.99
WS000991,PR20220327536,2022-03-27,Processing Waste,290.5,No,37201.83
WS000993,PR20220327731,2022-03-27,Expired Stock,291.53,Yes,25115.77
WS001001,PR20220328561,2022-03-28,Quality Rejection,327.28,No,48320.68
WS001005,PR20220328287,2022-03-28,Expired Stock,90.78,No,12639.23
WS001006,PR20220328329,2022-03-28,Expired Stock,268.78,No,33817.75
WS001014,PR20220329981,2022-03-29,Spillage,215.1,No,22110.4
WS001021,PR20220330482,2022-03-30,Processing Waste,131.45,No,11885.35
WS001024,PR20220330273,2022-03-30,Processing Waste,344.61,Yes,50457.82
WS001029,PR20220330260,2022-03-30,Expired Stock,233.27,No,20514.49
WS001032,PR20220330452,2022-03-30,Quality Rejection,551.81,No,53176.09
WS001034,PR20220330331,2022-03-30,Expired Stock,402.71,No,53598.51
WS001046,PR20220331167,2022-03-31,Expired Stock,449.62,Yes,49872.3
WS001053,PR20220401245,2022-04-01,Processing Waste,217.52,No,28597.19
WS001064,PR20220402980,2022-04-02,Quality Rejection,126.55,No,18756.77
WS001065,PR20220402658,2022-04-02,Quality Rejection,76.62,No,11419.06
WS001078,PR20220403372,2022-04-03,Spillage,188.63,No,23225.41
WS001079,PR20220403897,2022-04-03,Spillage,143.26,No,14061.74
WS001103,PR20220405500,2022-04-05,Spillage,384.13,Yes,50309.8
WS001108,PR20220406988,2022-04-06,Spillage,560.75,No,60434.89
WS001109,PR20220406758,2022-04-06,Expired Stock,542.93,Yes,76188.18
WS001115,PR20220406909,2022-04-06,Processing Waste,269.5,No,26699.78
WS001134,PR20220408955,2022-04-08,Quality Rejection,134.61,Yes,11531.69
WS001154,PR20220410661,2022-04-10,Processing Waste,178.95,Yes,23489.44
WS001168,PR20220411691,2022-04-11,Quality Rejection,166.31,No,15279.84
WS001174,PR20220411725,2022-04-11,Expired Stock,155.13,Yes,16679.41
WS001180,PR20220412294,2022-04-12,Quality Rejection,85.52,No,9661.91
WS001181,PR20220412266,2022-04-12,Spillage,394.14,Yes,36925.72
WS001195,PR20220413269,2022-04-13,Processing Waste,292.69,No,24830.88
WS001197,PR20220413870,2022-04-13,Quality Rejection,164.02,Yes,21290.94
WS001217,PR20220415236,2022-04-15,Expired Stock,412.2,No,40660.42
WS001224,PR20220416230,2022-04-16,Quality Rejection,105.02,No,8798.52
WS001226,PR20220416517,2022-04-16,Spillage,92.04,No,10642.88
WS001231,PR20220417493,2022-04-17,Quality Rejection,354.95,No,28457.12
WS001240,PR20220418987,2022-04-18,Expired Stock,272.31,Yes,29777.02
WS001250,PR20220419750,2022-04-19,Quality Rejection,505.54,No,47380.62
WS001252,PR20220419952,2022-04-19,Processing Waste,125.72,Yes,13415.92
WS001253,PR20220419403,2022-04-19,Spillage,265.59,Yes,37201.22
WS001259,PR20220419511,2022-04-19,Expired Stock,203.87,Yes,19896.04
WS001260,PR20220420774,2022-04-20,Spillage,288.91,Yes,25503.91
WS001268,PR20220420608,2022-04-20,Expired Stock,380.93,Yes,44890.03
WS001269,PR20220420175,2022-04-20,Processing Waste,149.15,Yes,15708.72
WS001289,PR20220422507,2022-04-22,Quality Rejection,213.37,Yes,27132.28
WS001298,PR20220422508,2022-04-22,Processing Waste,293.65,Yes,38390.78
WS001311,PR20220424930,2022-04-24,Spillage,269.56,No,25229.4
WS001315,PR20220424708,2022-04-24,Spillage,99.72,Yes,14725.53
WS001319,PR20220424403,2022-04-24,Processing Waste,92.37,Yes,10394.7
WS001322,PR20220425863,2022-04-25,Spillage,444.79,Yes,48573.24
WS001324,PR20220425997,2022-04-25,Spillage,146.85,No,19954.78
WS001334,PR20220426762,2022-04-26,Processing Waste,225.77,No,24873.62
WS001337,PR20220426924,2022-04-26,Expired Stock,237.06,No,23733.92
WS001345,PR20220426363,2022-04-26,Quality Rejection,316.45,Yes,41838.48
WS001352,PR20220427260,2022-04-27,Spillage,401.33,No,45313.4
WS001353,PR20220427252,2022-04-27,Quality Rejection,83.14,Yes,11956.49
WS001377,PR20220430967,2022-04-30,Quality Rejection,75.47,Yes,10131.87
WS001378,PR20220430371,2022-04-30,Expired Stock,315.56,Yes,26344.31
WS001379,PR20220430677,2022-04-30,Expired Stock,57.13,No,6861.27
WS001385,PR20220501485,2022-05-01,Spillage,284.32,Yes,34567.49
WS001391,PR20220501166,2022-05-01,Expired Stock,386.76,Yes,50823.68
WS001405,PR20220502847,2022-05-02,Expired Stock,200.09,Yes,23861.97
WS001416,PR20220503749,2022-05-03,Processing Waste,121.32,Yes,17584.27
WS001419,PR20220503206,2022-05-03,Quality Rejection,284.7,No,25854.97
WS001423,PR20220504933,2022-05-04,Spillage,169.54,No,13618.41
WS001428,PR20220504924,2022-05-04,Expired Stock,191.21,Yes,19534.68
WS001434,PR20220504449,2022-05-04,Spillage,327.72,No,37152.31
WS001439,PR20220505150,2022-05-05,Spillage,266.64,Yes,22951.06
WS001440,PR20220505814,2022-05-05,Expired Stock,248.83,Yes,35145.39
WS001442,PR20220505713,2022-05-05,Quality Rejection,212.14,Yes,21258.84
WS001445,PR20220505794,2022-05-05,Expired Stock,119.08,No,16101.88
WS001458,PR20220507257,2022-05-07,Quality Rejection,325.46,No,27531.04
WS001469,PR20220508317,2022-05-08,Quality Rejection,221.1,Yes,27588.79
WS001470,PR20220508697,2022-05-08,Processing Waste,75.75,Yes,7021.07
WS001471,PR20220508710,2022-05-08,Quality Rejection,44.01,No,4415.34
WS001473,PR20220508375,2022-05-08,Processing Waste,119.13,No,13589.88
WS001475,PR20220508425,2022-05-08,Quality Rejection,268.71,No,37338.66
WS001490,PR20220510103,2022-05-10,Spillage,95.78,No,8000.35
WS001491,PR20220510959,2022-05-10,Processing Waste,104.99,Yes,14606.06
WS001500,PR20220510772,2022-05-10,Quality Rejection,617.32,No,53749.74
WS001503,PR20220511676,2022-05-11,Processing Waste,101.36,No,13786.84
WS001530,PR20220514994,2022-05-14,Expired Stock,395.48,Yes,47034.48
WS001531,PR20220514235,2022-05-14,Quality Rejection,379.07,No,50857.24
WS001532,PR20220514668,2022-05-14,Expired Stock,180.38,No,19343.6
WS001540,PR20220515202,2022-05-15,Expired Stock,109.11,No,13052.73
WS001545,PR20220515145,2022-05-15,Quality Rejection,374.87,No,37438.09
WS001546,PR20220515314,2022-05-15,Quality Rejection,444.34,No,58228.32
WS001559,PR20220516591,2022-05-16,Quality Rejection,161.81,Yes,20452.75
WS001561,PR20220517823,2022-05-17,Quality Rejection,297.76,Yes,26369.97
WS001563,PR20220517502,2022-05-17,Quality Rejection,68.54,Yes,5565.85
WS001567,PR20220517975,2022-05-17,Expired Stock,171.84,Yes,24390.88
WS001568,PR20220517741,2022-05-17,Expired Stock,113.69,No,13232.93
WS001581,PR20220518930,2022-05-18,Spillage,361.57,Yes,46665.52
WS001604,PR20220521754,2022-05-21,Spillage,241.59,No,22019.17
WS001605,PR20220521484,2022-05-21,Expired Stock,208.48,No,26850.34
WS001606,PR20220521126,2022-05-21,Processing Waste,161.93,Yes,13965.06
WS001614,PR20220522252,2022-05-22,Expired Stock,175.04,No,14666.04
WS001616,PR20220522577,2022-05-22,Processing Waste,500.42,No,63391.43
WS001632,PR20220523481,2022-05-23,Spillage,445.29,Yes,59366.19
WS001634,PR20220523299,2022-05-23,Quality Rejection,105.58,Yes,10655.43
WS001638,PR20220524127,2022-05-24,Expired Stock,473.92,No,63702.37
WS001639,PR20220524205,2022-05-24,Quality Rejection,182.93,Yes,26194.36
WS001646,PR20220524243,2022-05-24,Processing Waste,220.15,No,22334.69
WS001650,PR20220525487,2022-05-25,Expired Stock,160.65,Yes,23710.62
WS001655,PR20220525912,2022-05-25,Quality Rejection,131.87,No,19516.52
WS001663,PR20220526933,2022-05-26,Processing Waste,340.26,Yes,31426.25
WS001664,PR20220526599,2022-05-26,Processing Waste,409.64,Yes,58069.95
WS001668,PR20220526969,2022-05-26,Expired Stock,380.51,Yes,33972.57
WS001670,PR20220527782,2022-05-27,Quality Rejection,67.01,Yes,6415.3
WS001671,PR20220527694,2022-05-27,Quality Rejection,124.48,No,12810.24
WS001673,PR20220527396,2022-05-27,Quality Rejection,370.26,Yes,39534.77
WS001676,PR20220527984,2022-05-27,Expired Stock,327.47,Yes,33548.05
WS001696,PR20220529935,2022-05-29,Spillage,561.51,Yes,67961.71
WS001697,PR20220529242,2022-05-29,Processing Waste,574.02,No,63654.82
WS001700,PR20220529757,2022-05-29,Spillage,174.82,No,24348.32
WS001716,PR20220530890,2022-05-30,Expired Stock,387.54,No,39950.19
WS001723,PR20220531176,2022-05-31,Expired Stock,206.23,No,17847.71
WS001740,PR20220602756,2022-06-02,Expired Stock,75.6,Yes,10365.0
WS001742,PR20220602184,2022-06-02,Processing Waste,245.06,Yes,25506.87
WS001752,PR20220603159,2022-06-03,Quality Rejection,275.97,Yes,35934.16
WS001756,PR20220603566,2022-06-03,Processing Waste,474.12,Yes,53895.58
WS001758,PR20220603365,2022-06-03,Expired Stock,370.18,No,46640.34
WS001762,PR20220603906,2022-06-03,Spillage,166.74,No,20868.8
WS001767,PR20220604224,2022-06-04,Processing Waste,153.39,Yes,16335.26
WS001770,PR20220604648,2022-06-04,Spillage,149.43,No,18627.1
WS001776,PR20220605298,2022-06-05,Expired Stock,114.03,No,15594.57
WS001783,PR20220606727,2022-06-06,Spillage,122.83,Yes,16460.84
WS001785,PR20220606519,2022-06-06,Quality Rejection,340.72,Yes,49668.73
WS001795,PR20220607814,2022-06-07,Expired Stock,252.79,Yes,21350.16
WS001796,PR20220607689,2022-06-07,Expired Stock,350.29,Yes,34953.19
WS001797,PR20220607680,2022-06-07,Spillage,98.71,Yes,13809.89
WS001812,PR20220608408,2022-06-08,Processing Waste,124.72,No,14398.42
WS001818,PR20220608115,2022-06-08,Spillage,488.52,Yes,45889.9
WS001820,PR20220608772,2022-06-08,Quality Rejection,450.4,No,46486.28
WS001822,PR20220609637,2022-06-09,Expired Stock,207.37,Yes,18498.35
WS001826,PR20220609714,2022-06-09,Spillage,415.03,No,47592.38
WS001834,PR20220610146,2022-06-10,Expired Stock,366.27,Yes,47206.01
WS001841,PR20220610485,2022-06-10,Expired Stock,161.44,Yes,15165.01
WS001848,PR20220611957,2022-06-11,Quality Rejection,401.28,No,47759.39
WS001861,PR20220612699,2022-06-12,Quality Rejection,312.27,No,42089.67
WS001862,PR20220612938,2022-06-12,Quality Rejection,433.43,Yes,37550.08
WS001863,PR20220612476,2022-06-12,Quality Rejection,147.11,Yes,21237.32
WS001865,PR20220613122,2022-06-13,Expired Stock,193.07,No,20351.81
WS001867,PR20220613678,2022-06-13,Processing Waste,463.88,No,68076.69
WS001874,PR20220613142,2022-06-13,Quality Rejection,532.64,No,44685.22
WS001894,PR20220615104,2022-06-15,Spillage,151.62,Yes,18353.87
WS001901,PR20220616297,2022-06-16,Quality Rejection,292.61,No,40727.62
WS001909,PR20220616936,2022-06-16,Expired Stock,389.08,No,44998.82
WS001912,PR20220617610,2022-06-17,Quality Rejection,294.42,Yes,33290.99
WS001913,PR20220617108,2022-06-17,Processing Waste,279.63,No,35690.98
WS001917,PR20220617367,2022-06-17,Spillage,264.95,No,25841.9
WS001919,PR20220617179,2022-06-17,Processing Waste,542.92,No,57143.47
WS001920,PR20220617212,2022-06-17,Spillage,129.52,No,10728.74
WS001922,PR20220617690,2022-06-17,Quality Rejection,347.76,No,41655.37
WS001923,PR20220617162,2022-06-17,Quality Rejection,91.56,No,11507.62
WS001924,PR20220617165,2022-06-17,Expired Stock,265.6,No,39791.96
WS001925,PR20220617448,2022-06-17,Quality Rejection,65.8,Yes,8511.32
WS001929,PR20220618205,2022-06-18,Spillage,122.55,Yes,11574.11
WS001945,PR20220619353,2022-06-19,Processing Waste,107.7,No,8665.33
WS001952,PR20220620945,2022-06-20,Processing Waste,200.15,No,18470.88
WS001965,PR20220621553,2022-06-21,Expired Stock,103.78,No,13512.2
WS001971,PR20220622485,2022-06-22,Quality Rejection,265.29,No,28579.74
WS001976,PR20220622255,2022-06-22,Quality Rejection,89.16,No,9216.73
WS001979,PR20220622177,2022-06-22,Processing Waste,353.95,No,53044.13
WS001981,PR20220623787,2022-06-23,Spillage,174.03,No,14160.05
WS001989,PR20220623325,2022-06-23,Quality Rejection,73.24,No,7676.76
WS001990,PR20220623830,2022-06-23,Spillage,340.54,No,43316.55
WS001991,PR20220623714,2022-06-23,Quality Rejection,327.5,No,37874.9
WS001997,PR20220624897,2022-06-24,Processing Waste,544.82,No,51070.03
WS002000,PR20220624102,2022-06-24,Spillage,129.58,Yes,17969.42
WS002040,PR20220628291,2022-06-28,Expired Stock,359.5,No,42685.16
WS002061,PR20220630685,2022-06-30,Processing Waste,327.09,Yes,47822.85
WS002077,PR20220702905,2022-07-02,Spillage,313.1,No,42850.23
WS002080,PR20220702544,2022-07-02,Spillage,307.1,Yes,25284.36
WS002090,PR20220703568,2022-07-03,Spillage,335.71,No,46074.08
WS002094,PR20220703347,2022-07-03,Expired Stock,444.72,Yes,49331.81
WS002095,PR20220703241,2022-07-03,Spillage,511.36,No,58442.95
WS002096,PR20220704139,2022-07-04,Expired Stock,337.83,No,29405.22
WS002104,PR20220704466,2022-07-04,Spillage,109.15,Yes,11973.14
WS002105,PR20220704664,2022-07-04,Quality Rejection,374.42,Yes,51066.7
WS002109,PR20220705399,2022-07-05,Quality Rejection,203.81,No,27352.3
WS002111,PR20220705337,2022-07-05,Quality Rejection,366.62,No,50333.82
WS002113,PR20220705873,2022-07-05,Expired Stock,353.15,No,48275.42
WS002116,PR20220705353,2022-07-05,Processing Waste,170.48,Yes,20262.74
WS002118,PR20220705950,2022-07-05,Quality Rejection,451.2,No,49396.85
WS002119,PR20220705879,2022-07-05,Expired Stock,249.67,Yes,20893.09
WS002120,PR20220705871,2022-07-05,Processing Waste,431.63,Yes,38771.58
WS002137,PR20220707552,2022-07-07,Quality Rejection,237.0,Yes,24226.71
WS002146,PR20220707719,2022-07-07,Quality Rejection,139.04,Yes,20094.44
WS002148,PR20220708244,2022-07-08,Processing Waste,190.33,No,26753.5
WS002154,PR20220708626,2022-07-08,Quality Rejection,156.49,No,13124.28
WS002156,PR20220708482,2022-07-08,Quality Rejection,169.0,Yes,22653.94
WS002158,PR20220708234,2022-07-08,Spillage,231.11,Yes,32929.1
WS002172,PR20220709102,2022-07-09,Spillage,469.64,Yes,45360.73
WS002185,PR20220710958,2022-07-10,Processing Waste,491.35,No,54520.5
WS002193,PR20220711804,2022-07-11,Processing Waste,68.44,Yes,8302.31
WS002215,PR20220714594,2022-07-14,Spillage,487.14,No,70574.66
WS002220,PR20220714297,2022-07-14,Processing Waste,124.97,Yes,13660.65
WS002224,PR20220714771,2022-07-14,Processing Waste,216.0,No,22390.42
WS002231,PR20220715747,2022-07-15,Processing Waste,262.94,No,35243.26
WS002232,PR20220715517,2022-07-15,Processing Waste,356.83,No,46753.47
WS002251,PR20220717171,2022-07-17,Spillage,360.18,No,41287.28
WS002252,PR20220717430,2022-07-17,Quality Rejection,366.97,No,29645.6
WS002255,PR20220717930,2022-07-17,Expired Stock,285.1,Yes,41153.14
WS002256,PR20220717504,2022-07-17,Expired Stock,311.69,No,37759.27
WS002257,PR20220717466,2022-07-17,Expired Stock,352.6,No,31913.51
WS002260,PR20220717108,2022-07-17,Quality Rejection,80.73,No,7904.39
WS002264,PR20220718867,2022-07-18,Quality Rejection,93.67,No,11170.85
WS002269,PR20220718809,2022-07-18,Spillage,180.36,No,19325.58
WS002277,PR20220718993,2022-07-18,Expired Stock,49.97,Yes,5916.61
WS002280,PR20220719459,2022-07-19,Expired Stock,174.71,Yes,18066.47
WS002291,PR20220720347,2022-07-20,Processing Waste,98.82,No,12773.56
WS002293,PR20220720893,2022-07-20,Processing Waste,159.17,Yes,21834.93
WS002306,PR20220721492,2022-07-21,Processing Waste,227.34,Yes,21965.84
WS002315,PR20220722306,2022-07-22,Quality Rejection,444.79,Yes,39997.32
WS002319,PR20220722560,2022-07-22,Quality Rejection,424.23,Yes,52276.08
WS002323,PR20220723182,2022-07-23,Expired Stock,59.53,No,7303.14
WS002334,PR20220724282,2022-07-24,Quality Rejection,492.5,Yes,70776.81
WS002349,PR20220725485,2022-07-25,Quality Rejection,477.93,No,54441.08
WS002359,PR20220726277,2022-07-26,Spillage,318.63,No,33381.27
WS002363,PR20220726727,2022-07-26,Spillage,294.51,No,40959.84
WS002367,PR20220727576,2022-07-27,Quality Rejection,173.46,No,18061.29
WS002371,PR20220727190,2022-07-27,Spillage,263.13,Yes,37736.23
WS002377,PR20220727451,2022-07-27,Quality Rejection,395.04,No,54831.91
WS002383,PR20220728944,2022-07-28,Processing Waste,112.74,Yes,11326.05
WS002392,PR20220729858,2022-07-29,Expired Stock,177.25,Yes,20275.19
WS002395,PR20220729382,2022-07-29,Processing Waste,179.5,No,25093.29
